stem,split,source_category,action,boxes
train_221,train,scratch,included,1
train_222,train,negative,included,0
train_223,train,negative,included,0
train_224,train,negative,included,0
train_225,,missing_tooth,excluded,0
train_226,,missing_tooth,excluded,0
train_227,,missing_tooth,excluded,0
train_228,,missing_tooth,excluded,0
train_229,,missing_tooth,excluded,0
train_230,,missing_tooth,excluded,0
train_231,,missing_tooth,excluded,0
train_232,train,negative,included,0
train_233,train,negative,included,0
train_234,train,negative,included,0
train_235,train,negative,included,0
train_236,train,negative,included,0
train_237,,missing_tooth,excluded,0
train_238,train,negative,included,0
train_239,train,negative,included,0
train_240,,missing_tooth,excluded,0
train_241,,missing_tooth,excluded,0
train_242,train,negative,included,0
train_243,train,negative,included,0
train_244,train,negative,included,0
train_245,train,negative,included,0
train_246,,missing_tooth,excluded,0
train_247,,missing_tooth,excluded,0
train_248,,missing_tooth,excluded,0
train_249,,missing_tooth,excluded,0
train_250,,missing_tooth,excluded,0
train_251,train,negative,included,0
train_252,train,negative,included,0
train_253,train,scratch,included,2
train_254,,missing_tooth,excluded,0
train_255,,missing_tooth,excluded,0
train_256,,missing_tooth,excluded,0
train_257,,missing_tooth,excluded,0
train_258,train,negative,included,0
train_259,,missing_tooth,excluded,0
train_260,,missing_tooth,excluded,0
train_261,,missing_tooth,excluded,0
train_262,train,negative,included,0
train_263,train,negative,included,0
train_264,train,negative,included,0
train_265,train,negative,included,0
train_266,train,negative,included,0
train_267,train,negative,included,0
train_268,train,negative,included,0
train_269,train,negative,included,0
train_270,train,negative,included,0
train_271,train,scratch,included,1
train_272,val,scratch,included,1
train_273,train,negative,included,0
train_274,train,negative,included,0
train_275,train,scratch,included,1
train_276,val,negative,included,0
train_277,train,negative,included,0
train_278,train,negative,included,0
train_279,train,negative,included,0
train_280,train,negative,included,0
train_281,train,negative,included,0
train_282,train,negative,included,0
train_283,train,scratch,included,2
train_284,train,scratch,included,1
train_285,train,scratch,included,2
train_286,train,scratch,included,1
train_287,train,scratch,included,2
train_288,train,scratch,included,2
train_289,train,negative,included,0
train_290,train,scratch,included,1
train_291,train,negative,included,0
train_292,train,negative,included,0
train_293,,missing_tooth,excluded,0
train_294,train,negative,included,0
train_295,val,negative,included,0
train_296,,missing_tooth,excluded,0
train_297,,missing_tooth,excluded,0
train_298,,missing_tooth,excluded,0
train_299,,missing_tooth,excluded,0
train_300,,missing_tooth,excluded,0
train_301,train,negative,included,0
train_302,train,negative,included,0
train_303,,missing_tooth,excluded,0
train_304,train,negative,included,0
train_305,,missing_tooth,excluded,0
train_306,,missing_tooth,excluded,0
train_307,val,negative,included,0
train_308,,missing_tooth,excluded,0
train_309,,missing_tooth,excluded,0
train_310,,missing_tooth,excluded,0
train_311,val,negative,included,0
train_312,train,negative,included,0
train_313,,missing_tooth,excluded,0
train_314,val,negative,included,0
train_315,,missing_tooth,excluded,0
train_316,,missing_tooth,excluded,0
train_317,,missing_tooth,excluded,0
train_318,,missing_tooth,excluded,0
train_319,,missing_tooth,excluded,0
train_320,,missing_tooth,excluded,0
train_321,val,negative,included,0
train_322,train,negative,included,0
train_323,train,negative,included,0
train_324,train,negative,included,0
train_325,val,negative,included,0
train_326,train,negative,included,0
train_327,train,negative,included,0
train_328,train,negative,included,0
train_329,train,negative,included,0
train_330,train,negative,included,0
train_331,train,scratch,included,1
train_332,train,negative,included,0
train_333,,missing_tooth,excluded,0
train_334,,missing_tooth,excluded,0
train_335,,missing_tooth,excluded,0
train_336,,missing_tooth,excluded,0
train_337,,missing_tooth,excluded,0
train_338,,missing_tooth,excluded,0
train_339,,missing_tooth,excluded,0
train_340,,missing_tooth,excluded,0
train_341,,missing_tooth,excluded,0
train_342,val,negative,included,0
train_343,train,scratch,included,1
