stem,binary_label,source_category,view,split,group,dhash
train_193,defect,missing_tooth,face,test,100,1e70e0d4f8f0b01f
train_194,defect,missing_tooth,face,test,100,9e71e0d4f8f0f09f
train_195,normal,normal,face,test,100,9e71e8d4f8f8f89f
train_196,normal,normal,face,test,100,9f71e0d4f8f0b89f
train_197,defect,missing_tooth,face,test,100,9f71e0d4f8f0f09f
train_198,defect,missing_tooth,face,test,100,9f70e0d4f8f8f09f
train_199,defect,missing_tooth,oblique,train,96,ffe4fcccf0f0f07b
train_200,defect,missing_tooth,oblique,train,101,9fecfcdcf0f0f039
train_201,defect,missing_tooth,oblique,train,96,ebe4f4dcf0f0f039
train_202,defect,scratch,face,train,102,9d70ecf2f0e8701f
train_203,defect,scratch,face,train,103,5fb8f0f2f4f0701f
train_204,defect,scratch,oblique,test,90,9e71e0d4ccec781e
train_205,defect,scratch,oblique,test,90,9e71e0dcc8f0701e
train_206,normal,normal,oblique,test,90,9671e0dcdce8701e
train_207,defect,scratch,face,train,104,4e3170dcdcec781c
train_208,defect,scratch,face,test,90,0671ecdcdcf8701c
train_209,defect,scratch,side,test,105,df78ccd8e8f87030
train_210,normal,normal,side,test,105,9771ccd8e0f87038
train_211,normal,normal,side,test,105,9f71e8d8f0f87038
train_212,normal,normal,face,train,106,9170e0f2f4f8781f
train_213,defect,scratch,face,train,106,d778f8d0f4f8781f
train_214,normal,normal,oblique,train,78,8c71e0dcf8f8781e
train_215,defect,scratch,oblique,train,78,8e71e0dcf8f8781e
train_216,defect,scratch,oblique,train,78,9671e8dcf8f8781e
train_217,normal,normal,oblique,train,78,9e71e8dcf8f0701e
train_218,normal,normal,oblique,train,78,8e71e8dcd8e0703e
train_219,normal,normal,side,train,107,bef8d8e0f0f0f070
train_220,defect,scratch,side,train,108,38f8e8f0f8f8f070
train_221,defect,scratch,side,train,109,fcf8cce4f8f87070
train_222,normal,normal,face,val,110,3d70f4f2f2f8789f
train_223,normal,normal,face,val,110,9f70f0f2f2f8709f
train_224,normal,normal,oblique,train,78,9d71e8dcf8f8781c
train_225,defect,missing_tooth,oblique,train,111,9671ecdce8e87038
train_226,defect,missing_tooth,oblique,train,78,9e71ecdcf8f8703e
train_227,defect,missing_tooth,oblique,train,111,9e71ecdcf0f0783c
train_228,defect,missing_tooth,oblique,train,78,8771ecdcf8f8703e
train_229,defect,missing_tooth,side,train,112,fe68ccd8d8f8f074
train_230,defect,missing_tooth,side,train,113,9fe9c8e0f8f87038
train_231,defect,missing_tooth,side,train,114,1fe1c8f0fce870f8
train_232,normal,normal,face,train,115,1e70e8d4f4f8701c
train_233,normal,normal,face,train,116,9ef2f0f1f0f0f3df
train_234,normal,normal,face,test,117,1ff070dcf0ec7016
train_235,normal,normal,face,test,117,1cf260dcf0f87816
train_236,normal,normal,face,test,117,1d7270dcf0ec7016
train_237,defect,missing_tooth,face,test,117,1ff270dcf0ec7016
train_238,normal,normal,face,test,117,1e7270dcf0ec7812
train_239,normal,normal,oblique,train,118,9ff331f0fcecf877
train_240,defect,missing_tooth,oblique,train,118,9f7171f0fcecf83b
train_241,defect,missing_tooth,oblique,train,118,cff131f0dcecf83f
train_242,normal,normal,face,train,119,de70f0f3f2f0719e
train_243,normal,normal,face,train,119,def0f0f0f0f072de
train_244,normal,normal,face,train,120,9f71e4fcf8f8711e
train_245,normal,normal,face,train,120,9e71e4fcf8f8791f
train_246,defect,missing_tooth,face,train,120,9e70e4dce8f8791f
train_247,defect,missing_tooth,face,train,120,9e70f4fcfcf8711f
train_248,defect,missing_tooth,face,train,120,9e70e4d8e0e8711e
train_249,defect,missing_tooth,oblique,train,121,6becc4f4f4ecf838
train_250,defect,missing_tooth,oblique,train,122,b760dcdcfcecf83f
train_251,normal,normal,oblique,train,123,67e1f4fcececf8bd
train_252,normal,normal,face,val,124,9f70f0f2f0f8789d
train_253,defect,scratch,face,val,124,9f70f0d2f0f8789f
train_254,defect,missing_tooth,oblique,train,125,9e61e0cce4f8781c
train_255,defect,missing_tooth,oblique,train,78,9671e8dcf8f8701e
train_256,defect,missing_tooth,oblique,train,78,9661ecdce8f8701e
train_257,defect,missing_tooth,oblique,train,126,9679e8d8d8e8703c
train_258,normal,normal,oblique,train,78,8e71e8dcecf8701e
train_259,defect,missing_tooth,side,train,127,bef8ccb4f8f87070
train_260,defect,missing_tooth,side,train,128,bfe1c8ccecf878f8
train_261,defect,missing_tooth,side,train,128,3fe1d8fcf8f878fc
train_262,normal,normal,face,train,129,9d70e4f2f0f8781c
train_263,normal,normal,face,train,130,9ff0f0f0f4f0709f
train_264,normal,normal,oblique,train,78,9e71e0dcf8f8781c
train_265,normal,normal,oblique,train,78,9671e8dcf8f8701e
train_266,normal,normal,oblique,train,78,8e71e0dcf8f8701e
train_267,normal,normal,oblique,train,78,8671e0dcf8f8701e
train_268,normal,normal,oblique,train,78,8e71e0dcf8e8781e
train_269,normal,normal,side,train,131,fee0cce8ecec707c
train_270,normal,normal,side,train,132,bfe1c8fcf0e078f8
train_271,defect,scratch,face,val,110,9f70e8d6f0f8789f
train_272,defect,scratch,face,val,110,9d70f0f2f2f0709f
train_273,normal,normal,oblique,train,133,9661e8dcf0f8781c
train_274,normal,normal,oblique,train,78,9c71e8dcf8f8781c
train_275,defect,scratch,oblique,train,78,9671e8dcf0f8701e
train_276,normal,normal,oblique,train,78,9671e8dce8f8701e
train_277,normal,normal,oblique,train,78,9c71e8dcf8f8781c
train_278,normal,normal,side,train,134,2ce0c8fcf8f878fc
train_279,normal,normal,side,train,134,26e0d8f4e8e878fc
train_280,normal,normal,side,train,134,06e0c8ecf4e878fc
train_281,normal,normal,face,val,124,9f70f0f2f4f8781d
train_282,normal,normal,face,val,124,9b70e0d2f4f8789d
train_283,defect,scratch,oblique,test,90,9671e0d8f0f8783e
train_284,defect,scratch,oblique,test,90,9671e0dcece8701e
train_285,defect,scratch,oblique,test,90,9671e4dcd8e8703e
train_286,defect,scratch,oblique,train,78,8e71e0dcecf8701e
train_287,defect,scratch,oblique,train,135,9669e0fcf4f8781e
train_288,defect,scratch,side,train,136,06e0d8ecf8f878fc
train_289,normal,normal,side,val,137,36e0c8e4f8f878fc
train_290,defect,scratch,side,val,137,26e1d8e4f8f878fc
train_291,normal,normal,face,train,138,dff0e8d4dcf8709e
train_292,normal,normal,face,train,139,def1f0f0f4f078fe
train_293,defect,missing_tooth,face,train,140,967270dcf0f07016
train_294,normal,normal,face,train,140,1d7370dcf0f87096
train_295,normal,normal,face,train,140,967270dcf0e07096
train_296,defect,missing_tooth,face,train,140,157371dcf0f8709e
train_297,defect,missing_tooth,face,train,140,1c7270dcf0e07016
train_298,defect,missing_tooth,oblique,train,141,4ff931f0fcfcf030
train_299,defect,missing_tooth,oblique,train,142,9ff931f0f4fcf03c
train_300,defect,missing_tooth,oblique,train,141,cff131f0f4ecf03c
train_301,normal,normal,face,train,143,9d70e4f2f2f8789f
train_302,normal,normal,face,train,143,dff0f0f2f6f8789d
train_303,defect,missing_tooth,oblique,val,144,9e61c8dcece8781e
train_304,normal,normal,oblique,train,78,9671e0dcf8f8781e
train_305,defect,missing_tooth,oblique,val,144,9e71e0dcd8ec701e
train_306,defect,missing_tooth,oblique,train,78,9e71e0dcf8f8701e
train_307,normal,normal,oblique,val,144,9f71e0dce8f8703e
train_308,defect,missing_tooth,side,test,79,fff8ccd8f8f8f070
train_309,defect,missing_tooth,side,train,145,bfe1c8fcfcf870f8
train_310,defect,missing_tooth,side,train,128,bfe1d8ccecf878fc
train_311,normal,normal,face,train,146,9d70e0f274f878bc
train_312,normal,normal,face,train,147,9cf0f8f0f4f0709f
train_313,defect,missing_tooth,side,val,148,36e1c8fcf0f8783c
train_314,normal,normal,side,val,148,9671c8dcf4e8703c
train_315,defect,missing_tooth,side,train,149,37e1c8dcc8e8781e
train_316,defect,missing_tooth,side,val,148,1671c8dcf0e8703c
train_317,defect,missing_tooth,side,val,148,9671c8d8f4ec783e
train_318,defect,missing_tooth,side,train,150,27f8d8e4fcec7878
train_319,defect,missing_tooth,side,train,151,3fc1d8ccecf878dc
train_320,defect,missing_tooth,side,train,152,2fc0f8ecece878fc
train_321,normal,normal,face,val,124,9f70f0f2f4f8781c
train_322,normal,normal,face,val,124,df70e0d2f4f878bc
train_323,normal,normal,oblique,train,78,9e71e8dcf8f8701e
train_324,normal,normal,oblique,train,78,9671e8dcf8f8703e
train_325,normal,normal,oblique,train,78,9e71e8dcf8e8703a
train_326,normal,normal,oblique,train,78,9e71e8dcf8e8703a
train_327,normal,normal,oblique,train,78,9e71e8dcf8f8703a
train_328,normal,normal,side,train,153,bfe8c8f8f8e87074
train_329,normal,normal,side,train,154,37e1c8f0f0e878fc
train_330,normal,normal,side,train,154,3fe1c8e4f0f878fc
train_331,defect,scratch,face,train,155,9bf0e8f4f2f270be
train_332,normal,normal,face,test,80,9f70e0f2f4f8789f
train_333,defect,missing_tooth,oblique,train,78,9e71e8dcf8e8781e
train_334,defect,missing_tooth,oblique,train,78,9671e8dcf8e0703e
train_335,defect,missing_tooth,oblique,train,78,8e71e8dcf8f87032
train_336,defect,missing_tooth,oblique,train,78,8e71e8dcf8f8783e
train_337,defect,missing_tooth,oblique,train,78,9671e8dcf8f8701e
train_338,defect,missing_tooth,side,train,156,de70c8d0f0f87078
train_339,defect,missing_tooth,side,train,157,bee1c8d8d8ec787c
train_340,defect,missing_tooth,side,train,158,3ee1e8fcf8e8783c
train_341,defect,missing_tooth,side,train,158,1ee1c8fcecf8783c
train_342,normal,normal,face,test,80,9e70f0f0f4f8789d
train_343,defect,scratch,face,test,80,9f70f0d2d4f8781f
