stem,category,view,split,group,dhash
train_075,scratch,oblique,train,48,8f79f9ccd8f8f9e3
train_076,scratch,oblique,train,48,af71f1cccce8f9f3
train_077,scratch,oblique,train,48,af71f9ecdcf8f9f3
train_078,scratch,side,train,49,bcf8f8e4d0cce4e7
train_079,normal,side,val,28,b478e8d4d8d8e8e6
train_080,scratch,side,val,28,7c78f8d4d8d8e8c6
train_081,normal,face,train,50,9779e8f4cce8f0f8
train_082,missing_tooth,face,train,41,2d73f0f4f0f0f0e6
train_083,missing_tooth,face,train,41,a973f0f4f0f0f1e4
train_084,missing_tooth,face,train,41,2d73f0f4f0f8f0e6
train_085,missing_tooth,face,train,41,a973f0f4f0f8f1e4
train_086,missing_tooth,face,train,41,b973f0f4f0f8f1f0
train_087,missing_tooth,oblique,train,51,dbdbf0d8d8d0cbcd
train_088,missing_tooth,oblique,train,51,dbfbf0d8d8c4d3db
train_089,missing_tooth,oblique,train,51,dbdbd0d8d8c4d3db
train_090,normal,face,train,52,a471d8f0f0e478ec
train_091,scratch,face,train,53,1e7178f4f4e4f878
train_092,scratch,face,train,54,0f71e8d4d4c4f0f8
train_093,scratch,oblique,train,55,8ff3f1e8d0fcf071
train_094,normal,oblique,train,55,8ef2f1e9d0fcf8f3
train_095,scratch,oblique,train,55,0cf2f1e9d8f8f873
train_096,scratch,oblique,train,55,8ef2f9e8d0f8f8f3
train_097,scratch,oblique,train,56,1ef3f1e4d0fcf0f3
train_098,normal,side,train,57,fc7cecd0c0d4e8cc
train_099,scratch,side,train,58,fc7cecd0d0c0c8c8
train_100,scratch,side,train,58,f87cf4d0c4d0c9c9
train_101,normal,face,train,59,a571e8fcc4e4f0f8
train_102,normal,face,train,60,4a71d8dcece470f8
train_103,normal,oblique,val,61,0d72f1d8d0fcf871
train_104,scratch,oblique,val,61,4f73f1c8f8fcf871
train_105,normal,oblique,val,61,0d73f1e8f0fcf871
train_106,normal,oblique,val,61,8d72f9e8f4fcf871
train_107,scratch,oblique,val,61,9ff3f1d8d8fcf873
train_108,normal,side,train,62,e9f1f1c0c4e4f4f2
train_109,normal,side,train,63,f9f9f9d0c0f4e4e6
train_110,normal,side,train,64,f9e9e9d0d4f4e4e4
train_111,scratch,face,train,65,ae31d8d4d4e4f078
train_112,scratch,face,train,66,1e7178f8f4c4f870
train_113,scratch,oblique,val,67,0d62f1d8f0f87879
train_114,scratch,oblique,val,67,1c72f1d8c8ec7078
train_115,scratch,face,val,67,0d72f1d8d8f8f879
train_116,scratch,face,val,67,1d73f9c8d8e8f879
train_117,scratch,oblique,val,67,1c72f1c8f8f8f871
train_118,normal,side,train,68,b3f3f1d1f86cf0f3
train_119,normal,side,train,69,f9f9f9d4ccece0e6
train_120,scratch,side,train,70,dde9f9d4d0f8e8e5
train_121,normal,face,train,71,df70f8f4ccf870be
train_122,normal,face,train,72,9f70f0d4f6f2f4fa
train_123,missing_tooth,face,train,73,9b61e0f0f0f97130
train_124,normal,face,train,73,9361e0f0f0f97171
train_125,normal,face,train,73,9971f0f4f0f97160
train_126,missing_tooth,face,train,73,db61e0f4f0f97171
train_127,missing_tooth,face,train,73,9b61e0f4f0f97131
train_128,missing_tooth,oblique,train,74,9f7171f0ecece87c
train_129,missing_tooth,oblique,train,74,f77171f0dcecf87d
train_130,missing_tooth,oblique,train,75,df7171f0fcecfc3d
train_131,normal,face,train,76,9ff0e0f2f2f8789c
train_132,normal,face,train,76,9f70e4f2f6f8781c
train_133,normal,oblique,train,77,9e71ecdcf0e87036
train_134,missing_tooth,oblique,train,78,9e71e8dcf8e8783c
train_135,normal,oblique,train,78,8e71e8dcf8f8701e
train_136,normal,oblique,train,78,8e71e8dcf8f0703e
train_137,missing_tooth,oblique,train,78,8e71ecdcf8f8703e
train_138,missing_tooth,side,test,79,1ff8dcd8fcf8f070
train_139,missing_tooth,side,test,79,fff8ecd8f4f8f070
train_140,normal,side,test,79,fff8c8d0f4f8f070
train_141,normal,face,test,80,9970e4f2f478381f
train_142,normal,face,test,80,9f70e0d2f4f8781f
train_143,missing_tooth,oblique,train,78,ce71e0dcd8f8701e
train_144,missing_tooth,oblique,test,81,ce31e4dcd8e8703f
train_145,missing_tooth,oblique,test,81,ce396cdcf8f07037
train_146,missing_tooth,oblique,test,81,ce71e4dcd8e87036
train_147,missing_tooth,oblique,train,78,8671ecdcd8f8703e
train_148,missing_tooth,side,train,82,5ffcecd8e4f8e064
train_149,missing_tooth,side,train,83,9ff8ccd8f8fcf074
train_150,missing_tooth,side,train,84,9ff8ccd8e8f8f870
train_151,scratch,face,test,80,9f70f8d2f4f8781f
train_152,scratch,face,train,85,9974f6f6f2f8781f
train_153,scratch,oblique,train,78,8e71e8dcd8e8703c
train_154,normal,oblique,train,86,8f78e4d8f0e8703a
train_155,scratch,oblique,train,87,9e79ecccece87030
train_156,scratch,oblique,train,86,8671ecd8c8e8703a
train_157,scratch,oblique,train,86,8671ecd8c8e8701f
train_158,normal,side,val,88,fe70cccce8f87030
train_159,scratch,side,train,89,fff8fcdcfce87070
train_160,scratch,side,val,88,ff60c8d8f0e87030
train_161,scratch,face,test,80,9f70e0f2f0f8781f
train_162,normal,face,test,80,df70f0d2f4f8781f
train_163,missing_tooth,oblique,test,90,9671e0dcfcf8789c
train_164,missing_tooth,oblique,test,90,9671e0dcdcf87038
train_165,missing_tooth,oblique,test,90,9671e0dcdcf8701f
train_166,missing_tooth,oblique,test,90,9671e0dcdcf8703c
train_167,missing_tooth,oblique,test,90,8e71e0dcdcf87019
train_168,missing_tooth,side,test,79,fbf8ecd8fcf0f034
train_169,missing_tooth,side,test,79,fff8ecd8f0f8f070
train_170,missing_tooth,side,test,79,fff8ecd8ecf8f074
train_171,scratch,face,train,91,9974f0d2f4f8701f
train_172,normal,face,train,91,dff0f0f2f4f8709f
train_173,normal,oblique,train,78,8f71e8dcf8f0703a
train_174,normal,oblique,test,81,8e31ecdcd8e8703e
train_175,normal,oblique,test,81,9e71ecdcd8e87037
train_176,normal,oblique,test,81,ce71ecdcd8e8703e
train_177,normal,oblique,test,81,ce71ecdcd8f0703f
train_178,normal,side,train,92,fff0dcd8e0f8f070
train_179,normal,side,train,92,fe70ccd8e0f87034
train_180,normal,side,train,92,ff70ccd8f0f8f030
train_181,normal,face,train,93,9c70e8f4fcf8701f
train_182,normal,face,train,94,ddf1f0f0f0f0f0fe
train_183,normal,face,train,95,9f61f0dce8f0f85f
train_184,missing_tooth,face,train,95,1f70e4dcf8f0f89e
train_185,missing_tooth,face,train,95,1370f0dce8f8f81e
train_186,missing_tooth,oblique,train,95,1b70e4dcecf8f89e
train_187,missing_tooth,face,train,95,1f70e4dce8f8f09e
train_188,missing_tooth,oblique,val,96,fff4fcdcf0f0f07b
train_189,missing_tooth,oblique,train,97,2ff4f4fcf070f03c
train_190,missing_tooth,oblique,train,98,37fcf4dcf070f03e
train_191,normal,face,train,93,9e70ecf4fcf8701f
train_192,normal,face,train,99,9e71e0f2f0f8729f
train_193,missing_tooth,face,test,100,1e70e0d4f8f0b01f
train_194,missing_tooth,face,test,100,9e71e0d4f8f0f09f
train_195,normal,face,test,100,9e71e8d4f8f8f89f
train_196,normal,face,test,100,9f71e0d4f8f0b89f
train_197,missing_tooth,face,test,100,9f71e0d4f8f0f09f
train_198,missing_tooth,face,test,100,9f70e0d4f8f8f09f
train_199,missing_tooth,oblique,val,96,ffe4fcccf0f0f07b
train_200,missing_tooth,oblique,train,101,9fecfcdcf0f0f039
train_201,missing_tooth,oblique,val,96,ebe4f4dcf0f0f039
train_202,scratch,face,train,102,9d70ecf2f0e8701f
train_203,scratch,face,train,103,5fb8f0f2f4f0701f
train_204,scratch,oblique,test,90,9e71e0d4ccec781e
train_205,scratch,oblique,test,90,9e71e0dcc8f0701e
train_206,normal,oblique,test,90,9671e0dcdce8701e
train_207,scratch,face,train,104,4e3170dcdcec781c
train_208,scratch,face,test,90,0671ecdcdcf8701c
train_209,scratch,side,test,105,df78ccd8e8f87030
train_210,normal,side,test,105,9771ccd8e0f87038
train_211,normal,side,test,105,9f71e8d8f0f87038
train_212,normal,face,train,106,9170e0f2f4f8781f
train_213,scratch,face,train,106,d778f8d0f4f8781f
train_214,normal,oblique,train,78,8c71e0dcf8f8781e
train_215,scratch,oblique,train,78,8e71e0dcf8f8781e
train_216,scratch,oblique,train,78,9671e8dcf8f8781e
train_217,normal,oblique,train,78,9e71e8dcf8f0701e
train_218,normal,oblique,train,78,8e71e8dcd8e0703e
train_219,normal,side,train,107,bef8d8e0f0f0f070
train_220,scratch,side,train,108,38f8e8f0f8f8f070
train_221,scratch,side,train,109,fcf8cce4f8f87070
train_222,normal,face,val,110,3d70f4f2f2f8789f
train_223,normal,face,val,110,9f70f0f2f2f8709f
train_224,normal,oblique,train,78,9d71e8dcf8f8781c
train_225,missing_tooth,oblique,train,111,9671ecdce8e87038
train_226,missing_tooth,oblique,train,78,9e71ecdcf8f8703e
train_227,missing_tooth,oblique,train,111,9e71ecdcf0f0783c
train_228,missing_tooth,oblique,train,78,8771ecdcf8f8703e
train_229,missing_tooth,side,train,112,fe68ccd8d8f8f074
train_230,missing_tooth,side,train,113,9fe9c8e0f8f87038
train_231,missing_tooth,side,train,114,1fe1c8f0fce870f8
train_232,normal,face,train,115,1e70e8d4f4f8701c
train_233,normal,face,train,116,9ef2f0f1f0f0f3df
train_234,normal,face,test,117,1ff070dcf0ec7016
train_235,normal,face,test,117,1cf260dcf0f87816
train_236,normal,face,test,117,1d7270dcf0ec7016
train_237,missing_tooth,face,test,117,1ff270dcf0ec7016
train_238,normal,face,test,117,1e7270dcf0ec7812
train_239,normal,oblique,val,118,9ff331f0fcecf877
train_240,missing_tooth,oblique,val,118,9f7171f0fcecf83b
train_241,missing_tooth,oblique,val,118,cff131f0dcecf83f
train_242,normal,face,train,119,de70f0f3f2f0719e
train_243,normal,face,train,119,def0f0f0f0f072de
train_244,normal,face,train,120,9f71e4fcf8f8711e
train_245,normal,face,train,120,9e71e4fcf8f8791f
train_246,missing_tooth,face,train,120,9e70e4dce8f8791f
train_247,missing_tooth,face,train,120,9e70f4fcfcf8711f
train_248,missing_tooth,face,train,120,9e70e4d8e0e8711e
train_249,missing_tooth,oblique,train,121,6becc4f4f4ecf838
train_250,missing_tooth,oblique,train,122,b760dcdcfcecf83f
train_251,normal,oblique,train,123,67e1f4fcececf8bd
train_252,normal,face,val,124,9f70f0f2f0f8789d
train_253,scratch,face,val,124,9f70f0d2f0f8789f
train_254,missing_tooth,oblique,train,125,9e61e0cce4f8781c
train_255,missing_tooth,oblique,train,78,9671e8dcf8f8701e
train_256,missing_tooth,oblique,train,78,9661ecdce8f8701e
train_257,missing_tooth,oblique,train,126,9679e8d8d8e8703c
train_258,normal,oblique,train,78,8e71e8dcecf8701e
train_259,missing_tooth,side,train,127,bef8ccb4f8f87070
train_260,missing_tooth,side,train,128,bfe1c8ccecf878f8
train_261,missing_tooth,side,train,128,3fe1d8fcf8f878fc
train_262,normal,face,train,129,9d70e4f2f0f8781c
train_263,normal,face,train,130,9ff0f0f0f4f0709f
train_264,normal,oblique,train,78,9e71e0dcf8f8781c
train_265,normal,oblique,train,78,9671e8dcf8f8701e
train_266,normal,oblique,train,78,8e71e0dcf8f8701e
train_267,normal,oblique,train,78,8671e0dcf8f8701e
train_268,normal,oblique,train,78,8e71e0dcf8e8781e
train_269,normal,side,train,131,fee0cce8ecec707c
train_270,normal,side,train,132,bfe1c8fcf0e078f8
train_271,scratch,face,val,110,9f70e8d6f0f8789f
train_272,scratch,face,val,110,9d70f0f2f2f0709f
train_273,normal,oblique,train,133,9661e8dcf0f8781c
train_274,normal,oblique,train,78,9c71e8dcf8f8781c
train_275,scratch,oblique,train,78,9671e8dcf0f8701e
train_276,normal,oblique,train,78,9671e8dce8f8701e
train_277,normal,oblique,train,78,9c71e8dcf8f8781c
train_278,normal,side,train,134,2ce0c8fcf8f878fc
train_279,normal,side,train,134,26e0d8f4e8e878fc
train_280,normal,side,train,134,06e0c8ecf4e878fc
train_281,normal,face,val,124,9f70f0f2f4f8781d
train_282,normal,face,val,124,9b70e0d2f4f8789d
train_283,scratch,oblique,test,90,9671e0d8f0f8783e
train_284,scratch,oblique,test,90,9671e0dcece8701e
train_285,scratch,oblique,test,90,9671e4dcd8e8703e
train_286,scratch,oblique,train,78,8e71e0dcecf8701e
train_287,scratch,oblique,train,135,9669e0fcf4f8781e
train_288,scratch,side,train,136,06e0d8ecf8f878fc
train_289,normal,side,test,137,36e0c8e4f8f878fc
train_290,scratch,side,test,137,26e1d8e4f8f878fc
train_291,normal,face,train,138,dff0e8d4dcf8709e
train_292,normal,face,train,139,def1f0f0f4f078fe
train_293,missing_tooth,face,train,140,967270dcf0f07016
train_294,normal,face,train,140,1d7370dcf0f87096
train_295,normal,face,train,140,967270dcf0e07096
train_296,missing_tooth,face,train,140,157371dcf0f8709e
train_297,missing_tooth,face,train,140,1c7270dcf0e07016
train_298,missing_tooth,oblique,train,141,4ff931f0fcfcf030
train_299,missing_tooth,oblique,train,142,9ff931f0f4fcf03c
train_300,missing_tooth,oblique,train,141,cff131f0f4ecf03c
train_301,normal,face,train,143,9d70e4f2f2f8789f
train_302,normal,face,train,143,dff0f0f2f6f8789d
train_303,missing_tooth,oblique,train,144,9e61c8dcece8781e
train_304,normal,oblique,train,78,9671e0dcf8f8781e
train_305,missing_tooth,oblique,train,144,9e71e0dcd8ec701e
train_306,missing_tooth,oblique,train,78,9e71e0dcf8f8701e
train_307,normal,oblique,train,144,9f71e0dce8f8703e
train_308,missing_tooth,side,test,79,fff8ccd8f8f8f070
train_309,missing_tooth,side,train,145,bfe1c8fcfcf870f8
train_310,missing_tooth,side,train,128,bfe1d8ccecf878fc
train_311,normal,face,train,146,9d70e0f274f878bc
train_312,normal,face,train,147,9cf0f8f0f4f0709f
train_313,missing_tooth,side,val,148,36e1c8fcf0f8783c
train_314,normal,side,val,148,9671c8dcf4e8703c
train_315,missing_tooth,side,train,149,37e1c8dcc8e8781e
train_316,missing_tooth,side,val,148,1671c8dcf0e8703c
train_317,missing_tooth,side,val,148,9671c8d8f4ec783e
train_318,missing_tooth,side,train,150,27f8d8e4fcec7878
train_319,missing_tooth,side,train,151,3fc1d8ccecf878dc
train_320,missing_tooth,side,train,152,2fc0f8ecece878fc
train_321,normal,face,val,124,9f70f0f2f4f8781c
train_322,normal,face,val,124,df70e0d2f4f878bc
train_323,normal,oblique,train,78,9e71e8dcf8f8701e
train_324,normal,oblique,train,78,9671e8dcf8f8703e
train_325,normal,oblique,train,78,9e71e8dcf8e8703a
train_326,normal,oblique,train,78,9e71e8dcf8e8703a
train_327,normal,oblique,train,78,9e71e8dcf8f8703a
train_328,normal,side,train,153,bfe8c8f8f8e87074
train_329,normal,side,train,154,37e1c8f0f0e878fc
train_330,normal,side,train,154,3fe1c8e4f0f878fc
train_331,scratch,face,train,155,9bf0e8f4f2f270be
train_332,normal,face,test,80,9f70e0f2f4f8789f
train_333,missing_tooth,oblique,train,78,9e71e8dcf8e8781e
train_334,missing_tooth,oblique,train,78,9671e8dcf8e0703e
train_335,missing_tooth,oblique,train,78,8e71e8dcf8f87032
train_336,missing_tooth,oblique,train,78,8e71e8dcf8f8783e
train_337,missing_tooth,oblique,train,78,9671e8dcf8f8701e
train_338,missing_tooth,side,train,156,de70c8d0f0f87078
train_339,missing_tooth,side,train,157,bee1c8d8d8ec787c
train_340,missing_tooth,side,train,158,3ee1e8fcf8e8783c
train_341,missing_tooth,side,train,158,1ee1c8fcecf8783c
train_342,normal,face,test,80,9e70f0f0f4f8789d
train_343,scratch,face,test,80,9f70f0d2d4f8781f
