stem,source_split,split,defect,classes,boxes,difficult_boxes,has_difficult,all_difficult,width,height,sha256,dhash,image,xml
train_014,train,train,0,,0,0,0,0,584,717,7c1889987ec9e771294c25c7cb903802fc7a0fa4162feb9dfb069ab3498f4d99,f98e37130f070e1d,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_014.jpg,
train_015,train,train,0,,0,0,0,0,428,667,0239127f9840f8c306b1ceec790a1e2729ec185642620fe40580ca11b2da1ad5,c086030b1b170619,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_015.jpg,
train_016,train,train,0,,0,0,0,0,432,662,c577291b6e04a8cf727021acd0dd3348ceb58be6b601e81edd22ccd3d1991afb,e08617330b070e18,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_016.jpg,
train_017,train,val,0,,0,0,0,0,270,720,bc0ccbb215541fef70cf8966a688051b483cf42d5c8a140da6fa4f3f4a6944c9,0d0d042c2c26342c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_017.jpg,
train_018,train,train,0,,0,0,0,0,240,656,ed8eb353731a922193a5d679e0594854fcfe55b04862c60820523425a36045d7,0606022f272b1733,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_018.jpg,
train_019,train,train,0,,0,0,0,0,226,643,2f5a27c8b8386b42eb8eae572a358fa3180f9ee3efefb2c87ba83161e9c9aad8,06860327272b1636,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_019.jpg,
train_020,train,val,0,,0,0,0,0,510,621,cee04b1667ba0fcab5f1d2f85072036fac32948d8e5ccc632ab43604c0ee14a5,f98e07370f0f0e0e,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_020.jpg,
train_021,train,val,0,,0,0,0,0,697,686,b2660f673f6759557a556c32a80f7bfabc4d5c410e57d422866f9f991cc6bbf8,588e070b3b0f0f03,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_021.jpg,
train_022,train,train,0,,0,0,0,0,863,835,cfafcf115c6ec6fa155864dbc51eeae8353f5be16e20569ddcdf0c0205919e6a,108e270f0b1b8b03,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_022.jpg,
train_023,train,train,1,side,5,0,0,0,750,750,05e9af24a64a00051648958f085afc1e47600a25b6669ce4d56577fb996e78b5,f88c0f0b0f070e0f,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_023.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_023.xml
train_024,train,train,1,side,1,0,0,0,748,760,4327a5c8d687e1370a80bb1d3d4bf7472952ac5e82b2179e811a6441d32dce29,e38c0f0b0f060e0c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_024.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_024.xml
train_025,train,train,1,side,7,0,0,0,724,742,b0866191dfae4cd654c65794c023b56234845d7e2664b63875b1d940591a85d0,f18d0f0b0f060e0e,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_025.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_025.xml
train_026,train,train,1,side,7,0,0,0,747,763,e9ba3c179e885e87ae1f4f3851f38fdea9196e63fad2cd42f158ecfa29132542,f18d0f0b0f060e2c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_026.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_026.xml
train_027,train,train,1,side,4,0,0,0,729,748,60534ff6e9cdc2c979058cdaad025660968231b0d42abf2c51ad30a644ad7a2b,f18d0f0b0f060e2c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_027.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_027.xml
train_028,train,train,1,side,7,0,0,0,611,852,de4408a36e220156107a4909bd3b5fd23107c9c44bf7e3dde21c30ac48f7e427,12042f27272f3832,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_028.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_028.xml
train_029,train,val,1,side,9,0,0,0,631,851,e92ad4153b0702b2dab32f6d613449fecd4596ba9546446356de7f10e3586433,12042f27272b1822,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_029.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_029.xml
train_030,train,train,1,side,6,0,0,0,578,803,9a4d1963912c355aa662508ef6660fc16ce8e046f139f0cfc7743daf6b49aa14,06040f27272b2c24,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_030.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_030.xml
train_031,train,val,0,,0,0,0,0,468,460,a20c230bd4b63e3537a29b6a25166b0ea857adcd6f8e8e2e02e185bc344e184e,4886a72f1b1b0f0f,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_031.jpg,
train_032,train,train,0,,0,0,0,0,436,438,86017fd590c9783de29d68d23bdbfdd18f98ef0199c1793c78fb12d10e6b907d,588e272313130b07,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_032.jpg,
train_033,train,val,0,,0,0,0,0,437,505,41d0623bd431712d08d1456aba831b99edd8a2c30bc2cad53c5f5332c0ff0751,ba8c06270b0f0f0f,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_033.jpg,
train_034,train,val,0,,0,0,0,0,424,504,bcea4f56d4b8b8aadcd2782bd059e8038351b477148318563f35a28e339c146b,f88c06270b0f0e0f,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_034.jpg,
train_035,train,val,0,,0,0,0,0,431,516,382868a3590f8489046851a361d641ed1cb7bcc96523aadf8b1dd814b408404d,f88c06272b0f0e0f,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_035.jpg,
train_036,train,val,0,,0,0,0,0,406,486,6f0c52ef98ce7e6a69119973b5116174f3244d2c3a4b5e622a472ad77dc59251,788c06270b0f0e0f,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_036.jpg,
train_037,train,val,1,oblique,3,0,0,0,422,488,6920e941fa8ab9b6f8748c430e58cbfb22e0ecaa7af8686657d83a96798357d9,ea8c06272b0f070f,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_037.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_037.xml
train_038,train,train,1,bottom+oblique,7,0,0,0,294,603,9e3f3f4e028c4dfe807823e647c077ad8d004e837e8937978784637364501a76,160e2e2727131f0c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_038.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_038.xml
train_039,train,train,1,bottom+oblique,5,0,0,0,284,634,99f57b56e5a4fd54c2738a78d05aacd92cec543daa69843e42afdfff5d770824,0907072b37371719,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_039.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_039.xml
train_040,train,train,1,bottom+oblique,7,0,0,0,265,619,13fd85207060c6e6101a755617648c9a62dad02f3f14df65b11d1495d7442c05,0b97172b27271719,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_040.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_040.xml
train_041,train,val,0,,0,0,0,0,552,542,a6028a32e3358e88cfa68329fb8d2e9f3a1c683d938b437d4379869a4b2c80ab,6996970b33330707,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_041.jpg,
train_042,train,train,0,,0,0,0,0,610,603,2004f6a1c03b514a3c42816265352dfdf4276f27750b2f91c91eb705a367e0bc,388697270b130f87,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_042.jpg,
train_043,train,train,1,bottom,3,0,0,0,380,633,7e19184d84de15b46a69a2746e2a26207cfa4bd8acfdc1ea6f95d203276e7632,d88606130f070e1c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_043.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_043.xml
train_044,train,train,0,,0,0,0,0,360,600,3d2920ed8b39177fc2485c70d2bb8ff81f0847821a2d8386592eb76bb4134eaf,288607130b07061c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_044.jpg,
train_045,train,val,1,bottom,3,0,0,0,381,631,ad2e0bb90b0fb741f8584375c89b1a414a6917d3131e3643e921b02bc3135459,988e061327270e1c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_045.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_045.xml
train_046,train,train,1,bottom,5,0,0,0,359,596,45cd318befade70c7a253e5233e6540a197c6e7c03a24a339ee6ad743d91c8cd,488607030f070618,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_046.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_046.xml
train_047,train,train,1,bottom,5,0,0,0,348,571,aeb5aa9bac16e11631b59945ebee5e5197b106a7763f9934f9c3209af3d32977,c886071b07070e18,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_047.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_047.xml
train_048,train,train,1,bottom,4,0,0,0,243,590,ae5a49b22b55f1627f01a7d5337bd9892b977c9799171e3c876693de70109b19,0187072f07271739,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_048.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_048.xml
train_049,train,train,1,bottom,3,0,0,0,241,593,638199180e5fd524c414f960256296c6057dc018b4ba0e2394d3755f71b7cd89,0183032707071733,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_049.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_049.xml
train_050,train,train,1,bottom,3,0,0,0,232,591,b9c9988e518ae27e0fcd36b4d908149d3d867e00cbfe4ca9417f2620173ca1ea,0383032f27071633,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_050.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_050.xml
train_051,train,train,0,,0,0,0,0,386,388,5465f3f03a204b955d2e50b0121d3b037b09f1cad4475561291e9f8e4ba21cbd,72ce172b1f330707,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_051.jpg,
train_052,train,val,0,,0,0,0,0,487,489,7273ea4e0c60c98d2a5567664bcd431daf2310e53bb0bfa0cbfc423b78d6927e,b0ce27270b1b0f07,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_052.jpg,
train_053,train,val,1,bottom,3,2,1,0,419,534,73af03822f33db1ad8b217e5d299736eddd658fb23803f3e2ba50339eadb893c,628d0e1707070686,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_053.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_053.xml
train_054,train,val,1,bottom,3,1,1,0,433,533,32899829c92c310d566bc5c91292d68e27cf20faab1dc038aab1fd07e746f523,628d0e1707078786,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_054.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_054.xml
train_055,train,train,1,bottom+oblique,7,1,1,0,405,554,f4070b1b45c0a2a0244a5e9280d5728474c6b1d4b09594e2db4642ecab7b6a70,c28c06170f07060e,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_055.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_055.xml
train_056,train,train,1,oblique,4,0,0,0,397,528,2df84e4eddb29c399bb473016f8c4e87607c553d0b989281810dbf3dff0be477,e08d06170f07060e,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_056.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_056.xml
train_057,train,train,1,oblique,3,0,0,0,393,530,11e61da3db93ccbd15186af850ccf0f9ac7f27fd1fece1e96fc50a27f7bc35f1,618c06170707060c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_057.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_057.xml
train_058,train,train,1,oblique,4,0,0,0,240,591,7a33caf7caa58133f8062f5875a6c522f4634f406a18f44f275d8f375484a780,019b132b23271733,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_058.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_058.xml
train_059,train,train,1,bottom,4,0,0,0,251,614,f538d0a9001a1ec4b344ee86b541d2ecbd524225415a2e1187710f87d2c61a31,0387172b23271733,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_059.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_059.xml
train_060,train,train,1,bottom,3,0,0,0,260,615,ed29193f1627cd226fe3e54391241838ebd9e793c472db5d72d73364d4453a66,0187032b23271739,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_060.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_060.xml
train_061,train,train,0,,0,0,0,0,745,723,96144a21b2053c64c0eba78ad38d1957568d00e10b9855ad29eefde4269a8be9,688e070b33178f83,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_061.jpg,
train_062,train,train,0,,0,0,0,0,875,825,7f550a39a6a5d7e3ef2400caf8ec7a2b9a9a89e9a7a709e943d647e2542ac85f,124e270f0b1b8f03,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_062.jpg,
train_063,train,train,1,side,6,0,0,0,758,802,657106a64309c09e92a46cb39c50002c2cb7a0e56917f15c5044d06b6e8dc66b,d28c0f0b0f070e19,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_063.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_063.xml
train_064,train,train,1,side,6,0,0,0,785,838,15805447e044a2b3edab9951adf75009316d0afe26f5d5d3984f40646db60928,c28c0f0b0f070f09,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_064.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_064.xml
train_065,train,val,1,side,5,0,0,0,794,764,b54a3ce5b347965afb73a8d6b52343715e1363b674e2c135aec2a5f51db1f590,8c0e0b0b0f060f19,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_065.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_065.xml
train_066,train,val,1,side,4,0,0,0,798,770,b9e61a45d51232d0ecf1ac2925f9f417e98ced24feeb9e1131e2eb78a0d6d235,8c0e0b0b0f060f19,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_066.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_066.xml
train_067,train,train,1,side,3,0,0,0,804,854,761d59187dabb06dac21b732d3e28e4b61e8f9a9c292e71d056027a711311aae,d28c0f0b0b0f0f19,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_067.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_067.xml
train_068,train,train,1,side,3,0,0,0,743,952,56c52dcc36507d76f9f6f186ed69db4955d9bd5bc6718f1a98b813be00defec5,24100a27270e1919,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_068.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_068.xml
train_069,train,train,1,side,3,0,0,0,725,964,7ba717b219fb68abafee33b0066cbaae4504c9597840eb2331e4d7139eb112c0,24002a07272e1931,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_069.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_069.xml
train_070,train,train,1,side,4,0,0,0,705,935,04b783b547871481b1e83e23e4505d68e32a79d876ce2067bc3d66c4b9983323,24002f27272f1933,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_070.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_070.xml
train_071,train,train,0,,0,0,0,0,639,631,04a8094cba6f8a1c18270184fc5b09de45a8aeb2b99d8a220dd5fce485fdb03c,6286970b2f131307,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_071.jpg,
train_072,train,train,0,,0,0,0,0,668,657,99862b4fc7688b71c04bea0aa42fff445a0d38fa81d2499a4a0f6f89edf2acbb,70ae27231b331b07,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_072.jpg,
train_073,train,train,0,,0,0,0,0,351,532,9599dd113cbdafb3ed36ead607f068580cf0cd250198d3749ef482dac7b9bbb0,508c06170707060c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_073.jpg,
train_074,train,train,0,,0,0,0,0,337,574,75b810f39e5b49d0ef4f88eda4d1e5527794c3dfec9f8114d1873dc2a7e78a47,508606232707061c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_074.jpg,
train_075,train,train,0,,0,0,0,0,344,586,71b1adae0f4cbee5431c1a5623e92cd39fdb778200a57c2e8695c8c4c0394c9b,508606332707060c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_075.jpg,
train_076,train,train,0,,0,0,0,0,345,595,1ae7939d39e7a07ad9545a7451a51a999ffdd952e0aa39d829e7904d0aec92bc,000e0e333317060c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_076.jpg,
train_077,train,val,0,,0,0,0,0,356,602,f3177cb1f57fca7d1e85827e188d86ba6f8ad90f007144787d45643e46552a6a,408e06130307060c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_077.jpg,
train_078,train,train,0,,0,0,0,0,271,627,23e8eab516416fed34e0d4a1e4be06fa1fd703c27302f4179f2053a4cc6957c2,0307071b27231a18,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_078.jpg,
train_079,train,val,0,,0,0,0,0,250,608,9ba8257c34b1e6b667001689fda7287cc055668fac41dd99f90b12b6189c00a4,0387072b27271719,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_079.jpg,
train_080,train,val,0,,0,0,0,0,233,585,9ce69e658e4fd70eb90e7222bb087efa032d2c500b6398c8f817ba8ea29290a6,0387072b27271739,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_080.jpg,
train_081,train,train,0,,0,0,0,0,768,747,cc2ce84d527d510a63e7288793e80610d05a90627e4031a6ad37641615563e87,6886170b33170f07,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_081.jpg,
train_082,train,train,1,side,2,0,0,0,752,800,673c01e7db783b8d7216dcfe1fb5076eb6b465dd09e95697e1c0af7fa5a3e262,d28c0f0b0f0f0f19,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_082.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_082.xml
train_083,train,train,1,side,5,0,0,0,746,810,d26f919a8ee641e6b7bdf5fa71b8a6877f0947f68122e5255d4db621ed196457,168c0f0b0f0f0e1b,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_083.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_083.xml
train_084,train,train,1,side,6,0,0,0,751,804,f90e1e5605a59f37da8881e01c64142af61b7315ad6bc3ad40ee5b9b63fd6032,528c0f0b0f070e19,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_084.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_084.xml
train_085,train,train,1,side,5,0,0,0,706,774,3457473d025966081c5c549b35d14d451ddaddcbbed23517527b78239a79c4a6,168c0f0b0f070e1a,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_085.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_085.xml
train_086,train,train,1,side,5,0,0,0,737,801,4d2bd14e8441fbd16f06e3780693a1f2edcd5a55f0b63c9fbaf918a6492894c0,468c0f0b0f060e0d,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_086.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_086.xml
train_087,train,train,1,side,6,0,0,0,511,728,fdde5bab01475f2a86cbf04730fe0c8c0af0107e17ebf10c3c26ee9559bdea6b,24240b27272f3432,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_087.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_087.xml
train_088,train,train,1,side,5,0,0,0,518,743,1f6ac64802fa62fb49ed9c50a54dcb2bef5b6f5695ac51ff7a69d6bde095355d,24040b27273b2c24,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_088.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_088.xml
train_089,train,train,1,side,4,0,0,0,530,751,5ca8b358dcc144967988426b2dbe9480361c995a8218f96fac5f6cb794c1cc42,24042f27273b2c24,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_089.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_089.xml
train_090,train,train,0,,0,0,0,0,867,827,a37fd54c40f2de70882e8e87dfbeb051a116f8100f746808a98583f808e74256,118e270f0f1b8713,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_090.jpg,
train_091,train,train,0,,0,0,0,0,499,511,fe4d09d391869bc518943bc668b2c23ee795c9266176b2b079e2b101e63bd3b1,618e870b0b1b0707,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_091.jpg,
train_092,train,val,0,,0,0,0,0,425,433,01f61603dadd9a760c293cfbdedd1631fdb3ca4d87943cdcaf2383424fd08bbc,b08e172b2b1b0f07,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_092.jpg,
train_093,train,train,0,,0,0,0,0,311,461,537e0b5c4826c63f4bf1f2f607d832207e40e698166ed2e067e8927f862914ff,300c0e170f030f0e,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_093.jpg,
train_094,train,val,0,,0,0,0,0,299,463,08a7143b6c976f26d1bb903cd0003fb366967876a5b4e3f63a3ff5ecf51be240,710c0e162f03070c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_094.jpg,
train_095,train,train,0,,0,0,0,0,296,479,922cc66786f04784a7d9898a50f2a8013036171f9af77cebad016b2bee088f7b,310c0e162707070c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_095.jpg,
