stem,split,label,boxes,image,xml,width,height,dhash,sha256,excluded_from_train,exclusion_reason
train_015,train,scratch,4,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_015.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_015.xml,428,667,c086030b1b170619,0239127f9840f8c306b1ceec790a1e2729ec185642620fe40580ca11b2da1ad5,False,
train_016,train,scratch,4,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_016.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_016.xml,432,662,e08617330b070e18,c577291b6e04a8cf727021acd0dd3348ceb58be6b601e81edd22ccd3d1991afb,False,
train_017,train,scratch,1,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_017.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_017.xml,270,720,0d0d042c2c26342c,bc0ccbb215541fef70cf8966a688051b483cf42d5c8a140da6fa4f3f4a6944c9,False,
train_020,train,scratch,3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_020.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_020.xml,510,621,f98e07370f0f0e0e,cee04b1667ba0fcab5f1d2f85072036fac32948d8e5ccc632ab43604c0ee14a5,False,
train_021,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_021.jpg,,697,686,588e070b3b0f0f03,b2660f673f6759557a556c32a80f7bfabc4d5c410e57d422866f9f991cc6bbf8,False,
train_022,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_022.jpg,,863,835,108e270f0b1b8b03,cfafcf115c6ec6fa155864dbc51eeae8353f5be16e20569ddcdf0c0205919e6a,False,
train_023,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_023.jpg,,750,750,f88c0f0b0f070e0f,05e9af24a64a00051648958f085afc1e47600a25b6669ce4d56577fb996e78b5,False,
train_024,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_024.jpg,,748,760,e38c0f0b0f060e0c,4327a5c8d687e1370a80bb1d3d4bf7472952ac5e82b2179e811a6441d32dce29,False,
train_025,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_025.jpg,,724,742,f18d0f0b0f060e0e,b0866191dfae4cd654c65794c023b56234845d7e2664b63875b1d940591a85d0,False,
train_026,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_026.jpg,,747,763,f18d0f0b0f060e2c,e9ba3c179e885e87ae1f4f3851f38fdea9196e63fad2cd42f158ecfa29132542,False,
train_027,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_027.jpg,,729,748,f18d0f0b0f060e2c,60534ff6e9cdc2c979058cdaad025660968231b0d42abf2c51ad30a644ad7a2b,False,
train_031,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_031.jpg,,468,460,4886a72f1b1b0f0f,a20c230bd4b63e3537a29b6a25166b0ea857adcd6f8e8e2e02e185bc344e184e,False,
train_032,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_032.jpg,,436,438,588e272313130b07,86017fd590c9783de29d68d23bdbfdd18f98ef0199c1793c78fb12d10e6b907d,False,
train_033,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_033.jpg,,437,505,ba8c06270b0f0f0f,41d0623bd431712d08d1456aba831b99edd8a2c30bc2cad53c5f5332c0ff0751,False,
train_034,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_034.jpg,,424,504,f88c06270b0f0e0f,bcea4f56d4b8b8aadcd2782bd059e8038351b477148318563f35a28e339c146b,False,
train_035,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_035.jpg,,431,516,f88c06272b0f0e0f,382868a3590f8489046851a361d641ed1cb7bcc96523aadf8b1dd814b408404d,False,
train_036,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_036.jpg,,406,486,788c06270b0f0e0f,6f0c52ef98ce7e6a69119973b5116174f3244d2c3a4b5e622a472ad77dc59251,False,
train_037,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_037.jpg,,422,488,ea8c06272b0f070f,6920e941fa8ab9b6f8748c430e58cbfb22e0ecaa7af8686657d83a96798357d9,False,
train_041,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_041.jpg,,552,542,6996970b33330707,a6028a32e3358e88cfa68329fb8d2e9f3a1c683d938b437d4379869a4b2c80ab,False,
train_042,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_042.jpg,,610,603,388697270b130f87,2004f6a1c03b514a3c42816265352dfdf4276f27750b2f91c91eb705a367e0bc,False,
train_043,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_043.jpg,,380,633,d88606130f070e1c,7e19184d84de15b46a69a2746e2a26207cfa4bd8acfdc1ea6f95d203276e7632,False,
train_044,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_044.jpg,,360,600,288607130b07061c,3d2920ed8b39177fc2485c70d2bb8ff81f0847821a2d8386592eb76bb4134eaf,False,
train_045,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_045.jpg,,381,631,988e061327270e1c,ad2e0bb90b0fb741f8584375c89b1a414a6917d3131e3643e921b02bc3135459,False,
train_046,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_046.jpg,,359,596,488607030f070618,45cd318befade70c7a253e5233e6540a197c6e7c03a24a339ee6ad743d91c8cd,False,
train_047,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_047.jpg,,348,571,c886071b07070e18,aeb5aa9bac16e11631b59945ebee5e5197b106a7763f9934f9c3209af3d32977,False,
train_051,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_051.jpg,,386,388,72ce172b1f330707,5465f3f03a204b955d2e50b0121d3b037b09f1cad4475561291e9f8e4ba21cbd,False,
train_052,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_052.jpg,,487,489,b0ce27270b1b0f07,7273ea4e0c60c98d2a5567664bcd431daf2310e53bb0bfa0cbfc423b78d6927e,False,
train_053,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_053.jpg,,419,534,628d0e1707070686,73af03822f33db1ad8b217e5d299736eddd658fb23803f3e2ba50339eadb893c,False,
train_054,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_054.jpg,,433,533,628d0e1707078786,32899829c92c310d566bc5c91292d68e27cf20faab1dc038aab1fd07e746f523,False,
train_055,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_055.jpg,,405,554,c28c06170f07060e,f4070b1b45c0a2a0244a5e9280d5728474c6b1d4b09594e2db4642ecab7b6a70,False,
train_056,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_056.jpg,,397,528,e08d06170f07060e,2df84e4eddb29c399bb473016f8c4e87607c553d0b989281810dbf3dff0be477,False,
train_057,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_057.jpg,,393,530,618c06170707060c,11e61da3db93ccbd15186af850ccf0f9ac7f27fd1fece1e96fc50a27f7bc35f1,False,
train_061,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_061.jpg,,745,723,688e070b33178f83,96144a21b2053c64c0eba78ad38d1957568d00e10b9855ad29eefde4269a8be9,False,
train_062,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_062.jpg,,875,825,124e270f0b1b8f03,7f550a39a6a5d7e3ef2400caf8ec7a2b9a9a89e9a7a709e943d647e2542ac85f,False,
train_063,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_063.jpg,,758,802,d28c0f0b0f070e19,657106a64309c09e92a46cb39c50002c2cb7a0e56917f15c5044d06b6e8dc66b,False,
train_064,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_064.jpg,,785,838,c28c0f0b0f070f09,15805447e044a2b3edab9951adf75009316d0afe26f5d5d3984f40646db60928,False,
train_065,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_065.jpg,,794,764,8c0e0b0b0f060f19,b54a3ce5b347965afb73a8d6b52343715e1363b674e2c135aec2a5f51db1f590,False,
train_066,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_066.jpg,,798,770,8c0e0b0b0f060f19,b9e61a45d51232d0ecf1ac2925f9f417e98ced24feeb9e1131e2eb78a0d6d235,False,
train_067,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_067.jpg,,804,854,d28c0f0b0b0f0f19,761d59187dabb06dac21b732d3e28e4b61e8f9a9c292e71d056027a711311aae,False,
train_071,train,scratch,4,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_071.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_071.xml,639,631,6286970b2f131307,04a8094cba6f8a1c18270184fc5b09de45a8aeb2b99d8a220dd5fce485fdb03c,False,
train_072,train,scratch,3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_072.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_072.xml,668,657,70ae27231b331b07,99862b4fc7688b71c04bea0aa42fff445a0d38fa81d2499a4a0f6f89edf2acbb,False,
train_073,train,scratch,3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_073.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_073.xml,351,532,508c06170707060c,9599dd113cbdafb3ed36ead607f068580cf0cd250198d3749ef482dac7b9bbb0,False,
train_074,train,scratch,2,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_074.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_074.xml,337,574,508606232707061c,75b810f39e5b49d0ef4f88eda4d1e5527794c3dfec9f8114d1873dc2a7e78a47,False,
train_075,train,scratch,2,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_075.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_075.xml,344,586,508606332707060c,71b1adae0f4cbee5431c1a5623e92cd39fdb778200a57c2e8695c8c4c0394c9b,False,
train_076,train,scratch,1,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_076.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_076.xml,345,595,000e0e333317060c,1ae7939d39e7a07ad9545a7451a51a999ffdd952e0aa39d829e7904d0aec92bc,False,
train_077,train,scratch,2,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_077.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_077.xml,356,602,408e06130307060c,f3177cb1f57fca7d1e85827e188d86ba6f8ad90f007144787d45643e46552a6a,False,
train_078,train,scratch,1,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_078.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_078.xml,271,627,0307071b27231a18,23e8eab516416fed34e0d4a1e4be06fa1fd703c27302f4179f2053a4cc6957c2,False,
train_081,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_081.jpg,,768,747,6886170b33170f07,cc2ce84d527d510a63e7288793e80610d05a90627e4031a6ad37641615563e87,False,
train_082,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_082.jpg,,752,800,d28c0f0b0f0f0f19,673c01e7db783b8d7216dcfe1fb5076eb6b465dd09e95697e1c0af7fa5a3e262,False,
train_083,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_083.jpg,,746,810,168c0f0b0f0f0e1b,d26f919a8ee641e6b7bdf5fa71b8a6877f0947f68122e5255d4db621ed196457,False,
train_084,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_084.jpg,,751,804,528c0f0b0f070e19,f90e1e5605a59f37da8881e01c64142af61b7315ad6bc3ad40ee5b9b63fd6032,False,
train_085,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_085.jpg,,706,774,168c0f0b0f070e1a,3457473d025966081c5c549b35d14d451ddaddcbbed23517527b78239a79c4a6,False,
train_086,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_086.jpg,,737,801,468c0f0b0f060e0d,4d2bd14e8441fbd16f06e3780693a1f2edcd5a55f0b63c9fbaf918a6492894c0,False,
train_090,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_090.jpg,,867,827,118e270f0f1b8713,a37fd54c40f2de70882e8e87dfbeb051a116f8100f746808a98583f808e74256,False,
train_091,train,scratch,4,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_091.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_091.xml,499,511,618e870b0b1b0707,fe4d09d391869bc518943bc668b2c23ee795c9266176b2b079e2b101e63bd3b1,False,
train_092,train,scratch,2,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_092.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_092.xml,425,433,b08e172b2b1b0f07,01f61603dadd9a760c293cfbdedd1631fdb3ca4d87943cdcaf2383424fd08bbc,False,
train_093,train,scratch,2,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_093.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_093.xml,311,461,300c0e170f030f0e,537e0b5c4826c63f4bf1f2f607d832207e40e698166ed2e067e8927f862914ff,False,
train_094,train,scratch,1,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_094.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_094.xml,299,463,710c0e162f03070c,08a7143b6c976f26d1bb903cd0003fb366967876a5b4e3f63a3ff5ecf51be240,False,
train_095,train,scratch,1,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_095.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_095.xml,296,479,310c0e162707070c,922cc66786f04784a7d9898a50f2a8013036171f9af77cebad016b2bee088f7b,False,
train_096,train,scratch,1,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_096.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_096.xml,295,488,710d06172f07070c,8cb0ef5e0033b49fadea1b992166cd0398a99d963ce1b000014dda2615198331,False,
train_097,train,scratch,4,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_097.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_097.xml,293,493,210c0e1b2f03070c,40ee20d86bd33a0980f450c0a7688c35a64eb32e2f6e1af4cf86f40c29c15358,False,
train_099,train,scratch,1,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_099.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_099.xml,189,484,0383132f2f3b1636,eea7a3e1a7507561e42ff2dbd1b31a8ed89fd104d8a75a299fb7cb0dae63b89d,False,
train_100,train,scratch,1,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_100.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_100.xml,183,508,03030b2f2b2f3636,bf1107e959bdd87ecc5648176a6d1d7de032708fcf52b9c050da3ed6f4ec5136,False,
train_101,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_101.jpg,,471,473,588e17033b1b0f07,6bfe4de0b1948f3e6d9e35ee21435c13cfdb9431ab2935de72ae50d4f78e0a43,False,
train_102,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_102.jpg,,502,505,b48e0723131b0f07,f9391f75b4be4534328b88ce10da5499070eac8bd62278732f3e837334b087eb,False,
train_103,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_103.jpg,,369,516,620d0e272f03070e,85b7c82affc7a1e73363cefda00c5f8fadd3048a14e3b698f63fbc9f8bda8299,False,
train_104,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_104.jpg,,366,531,300c0e270703078e,67ea916bfbf4e5cbb37f390d5c4bf444ea4bc1e2a77ab0671ae396cac7078094,False,
train_105,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_105.jpg,,385,548,228c0e1707030786,b36a12bbd25cc5f84cb0f8cc0e03d2e96919f74cba65e88114fd2988c23fbee6,False,
train_106,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_106.jpg,,372,543,220c06070303078e,2d8d81c0557bc87a6b63ec22f7780eff9581bf2d606325fe232e2d86dec877cf,False,
train_107,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_107.jpg,,367,538,600c0e272703078c,edaf89bad4c34bda0119d8bb6dae8934c0c5770762e40d7cfd193817dbaa6d36,False,
train_111,train,scratch,4,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_111.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_111.xml,490,494,50ce272b0b1b0f87,95d1c87c17f7fcbff3c4ba9632293e03d9b87b02726219916d3e87b5dfb3635c,False,
train_112,train,scratch,2,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_112.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_112.xml,574,571,208e87070b1b078f,46f7dbae5ebeb90cf8f1bfbf1e36071a8cd13584517ec076cb63f0cc20b79447,False,
train_113,train,scratch,1,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_113.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_113.xml,392,491,609c0e270f070786,628588bb527b6befee88c68e0db02057314b190d649f998754ffc97082b526ad,False,
train_114,train,scratch,2,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_114.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_114.xml,392,492,618d0e2737138f86,0a74706e98516183e8a1c047493056836e5845310de6b0279a25dddecbb3b708,False,
train_115,train,scratch,1,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_115.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_115.xml,395,490,c08c0e2727030786,db8b4fdc16fc8927e21a6d5129261f7269e850a9068a8f6081342d366efd5250,False,
train_116,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_116.jpg,,407,508,e08c063707130786,2e2acd685536a055eee420d3cf47d997244c0b102fa5c19eaf86ab9aecb6647f,False,
train_117,train,scratch,2,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_117.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_117.xml,408,527,608c0e3707070686,2673dbe2c3e3bef8826aeb5e6cbea4f7dd63c662fd86261926181bb3e4e029b9,False,
train_118,train,scratch,1,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_118.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_118.xml,281,561,0c0c0e2e07130f0c,9463471c1b908e0518654be2220b5e1ea5cdc0a61f35f61898a591d53ce49cba,False,
train_120,train,scratch,1,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_120.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_120.xml,233,573,0206062b2f07171a,59db701b2613047c9eb86795494075ea450334334ed741fccb69d8102a975ff0,False,
train_121,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_121.jpg,,767,745,208f070b23078f41,7675ec20770be73032a012e0c72cca13483c5d6cff8f11ee7e5f800ec1d04a55,False,
train_122,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_122.jpg,,692,677,608f0f2b090d0b05,442d5af9a4694bdd14a3306846c69fe67f0f9677dfe21aaae727dfc0788378af,False,
train_123,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_123.jpg,,744,763,649e1f0f0f068e8e,778bf3faf5ac18564349abba4ecb0b0d5f611ab3e15e1cde610437bd11b4151d,False,
train_124,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_124.jpg,,712,737,649e1f0b0f068e8e,9c7791dfb0151331006132a7ed7ba909635567cf7a42b2d785662fa6f5e3b0ad,False,
train_125,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_125.jpg,,751,783,648e0f0b0f068e9d,3b92470ed4c1e6a929de20dc3b82f58b2305857b5d8fadfebce4c7d003d81b9d,False,
train_126,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_126.jpg,,737,764,241e1f0b0f068e8e,e4d3fcf20fc5a1f0d62fd612f516f56948d0fb0f5b8e1b473b522d341660ab4b,False,
train_127,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_127.jpg,,792,812,649e1f0b0f068e4e,2d6b742451eaa543a933c5ad7199d2a1842b456a2adaebadfa9393ef2510f5a9,False,
train_131,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_131.jpg,,429,428,200f1f0d0d078743,a393a956ec6aca002754fd90c97a1af0c35ba56dbfbd422202284afd14875790,False,
train_132,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_132.jpg,,474,483,608f1b0d09078761,d7e63200aaa97199184e82df20be1c9e4ea585220191662dc7ba9d4e9cdfdc84,False,
train_133,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_133.jpg,,451,299,618e132307078fc1,79d2801c0d172f89643d804a1fadf86cef40c89d3da8ce468f3fc17a7b76b8ab,False,
train_134,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_134.jpg,,493,327,618e1723070787c1,66a41f3f2e656d8434cac929b0514db8d2edc4dc0ef8dd24a9a59308b9840591,False,
train_135,train,normal,0,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_135.jpg,,470,338,708e172307078fe0,ffcf86765e8adb6aa49eb28b704af1efcf295235a59585945049c469fc6470ef,False,
