stem,split,defect,boxes,kept_boxes,difficult_boxes,excluded,reason,image,xml
train_019,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_019.jpg,
train_020,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_020.jpg,
train_021,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_021.jpg,
train_022,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_022.jpg,
train_023,train,1,5,5,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_023.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_023.xml
train_024,train,1,1,1,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_024.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_024.xml
train_025,train,1,7,7,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_025.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_025.xml
train_026,train,1,7,7,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_026.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_026.xml
train_027,train,1,4,4,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_027.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_027.xml
train_028,train,1,7,7,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_028.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_028.xml
train_029,val,1,9,9,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_029.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_029.xml
train_030,train,1,6,6,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_030.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_030.xml
train_031,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_031.jpg,
train_032,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_032.jpg,
train_033,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_033.jpg,
train_034,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_034.jpg,
train_035,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_035.jpg,
train_036,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_036.jpg,
train_037,val,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_037.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_037.xml
train_038,train,1,7,7,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_038.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_038.xml
train_039,train,1,5,5,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_039.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_039.xml
train_040,train,1,7,7,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_040.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_040.xml
train_041,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_041.jpg,
train_042,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_042.jpg,
train_043,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_043.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_043.xml
train_044,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_044.jpg,
train_045,val,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_045.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_045.xml
train_046,train,1,5,5,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_046.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_046.xml
train_047,train,1,5,5,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_047.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_047.xml
train_048,train,1,4,4,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_048.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_048.xml
train_049,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_049.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_049.xml
train_050,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_050.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_050.xml
train_051,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_051.jpg,
train_052,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_052.jpg,
train_053,val,1,3,3,2,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_053.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_053.xml
train_054,val,1,3,3,1,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_054.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_054.xml
train_055,train,1,7,7,1,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_055.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_055.xml
train_056,train,1,4,4,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_056.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_056.xml
train_057,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_057.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_057.xml
train_058,train,1,4,4,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_058.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_058.xml
train_059,train,1,4,4,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_059.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_059.xml
train_060,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_060.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_060.xml
train_061,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_061.jpg,
train_062,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_062.jpg,
train_063,train,1,6,6,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_063.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_063.xml
train_064,train,1,6,6,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_064.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_064.xml
train_065,val,1,5,5,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_065.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_065.xml
train_066,val,1,4,4,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_066.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_066.xml
train_067,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_067.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_067.xml
train_068,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_068.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_068.xml
train_069,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_069.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_069.xml
train_070,train,1,4,4,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_070.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_070.xml
train_071,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_071.jpg,
train_072,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_072.jpg,
train_073,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_073.jpg,
train_074,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_074.jpg,
train_075,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_075.jpg,
train_076,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_076.jpg,
train_077,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_077.jpg,
train_078,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_078.jpg,
train_079,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_079.jpg,
train_080,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_080.jpg,
train_081,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_081.jpg,
train_082,train,1,2,2,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_082.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_082.xml
train_083,train,1,5,5,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_083.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_083.xml
train_084,train,1,6,6,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_084.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_084.xml
train_085,train,1,5,5,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_085.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_085.xml
train_086,train,1,5,5,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_086.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_086.xml
train_087,train,1,6,6,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_087.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_087.xml
train_088,train,1,5,5,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_088.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_088.xml
train_089,train,1,4,4,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_089.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_089.xml
train_090,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_090.jpg,
train_091,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_091.jpg,
train_092,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_092.jpg,
train_093,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_093.jpg,
train_094,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_094.jpg,
train_095,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_095.jpg,
train_096,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_096.jpg,
train_097,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_097.jpg,
train_098,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_098.jpg,
train_099,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_099.jpg,
train_100,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_100.jpg,
train_101,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_101.jpg,
train_102,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_102.jpg,
train_103,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_103.jpg,
train_104,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_104.jpg,
train_105,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_105.jpg,
train_106,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_106.jpg,
train_107,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_107.jpg,
train_108,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_108.jpg,
train_109,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_109.jpg,
train_110,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_110.jpg,
train_111,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_111.jpg,
train_112,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_112.jpg,
train_113,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_113.jpg,
train_114,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_114.jpg,
train_115,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_115.jpg,
train_116,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_116.jpg,
train_117,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_117.jpg,
train_118,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_118.jpg,
train_119,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_119.jpg,
train_120,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_120.jpg,
train_121,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_121.jpg,
train_122,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_122.jpg,
train_123,val,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_123.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_123.xml
train_124,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_124.jpg,
train_125,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_125.jpg,
train_126,val,1,1,1,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_126.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_126.xml
train_127,val,1,2,2,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_127.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_127.xml
train_128,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_128.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_128.xml
train_129,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_129.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_129.xml
train_130,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_130.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_130.xml
train_131,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_131.jpg,
train_132,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_132.jpg,
train_133,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_133.jpg,
train_134,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_134.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_134.xml
train_135,train,1,2,2,1,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_135.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_135.xml
train_136,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_136.jpg,
train_137,train,1,2,2,1,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_137.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_137.xml
train_138,train,1,2,2,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_138.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_138.xml
train_139,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_139.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_139.xml
train_140,train,1,1,1,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_140.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_140.xml
train_141,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_141.jpg,
train_142,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_142.jpg,
train_143,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_143.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_143.xml
train_144,train,1,4,4,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_144.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_144.xml
train_145,train,1,4,4,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_145.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_145.xml
train_146,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_146.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_146.xml
train_147,train,1,3,3,1,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_147.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_147.xml
train_148,train,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_148.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_148.xml
train_149,val,1,3,3,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_149.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_149.xml
train_150,train,1,4,4,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_150.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_150.xml
train_151,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_151.jpg,
train_152,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_152.jpg,
train_153,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_153.jpg,
train_154,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_154.jpg,
train_155,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_155.jpg,
train_156,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_156.jpg,
train_157,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_157.jpg,
train_158,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_158.jpg,
train_159,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_159.jpg,
train_160,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_160.jpg,
train_161,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_161.jpg,
train_162,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_162.jpg,
train_163,train,1,2,2,1,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_163.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_163.xml
train_164,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_164.jpg,
train_165,train,1,2,2,1,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_165.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_165.xml
train_166,train,1,1,1,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_166.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_166.xml
train_167,train,1,2,2,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_167.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_167.xml
train_168,val,1,5,5,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_168.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_missing_tooth\train_168.xml
