source_image,crop_path,box_index,class_id,confidence,x1,y1,x2,y2,pad_x1,pad_y1,pad_x2,pad_y2,image_width,image_height
test\test_038.jpg,crops\test\test_038.jpg,1,0,0.665394,1235.62,266.97,1487.44,441.51,1185,232,1538,476,2560,1440
test\test_039.jpg,crops\test\test_039.jpg,1,0,0.849164,1104.51,440.98,1333.22,513.52,1059,426,1379,528,2560,1440
test\test_040.jpg,crops\test\test_040.jpg,1,0,0.843797,1213.32,490.55,1432.59,718.42,1169,445,1476,764,2560,1440
test\test_041.jpg,crops\test\test_041.jpg,1,0,0.485143,1125.88,332.20,1366.99,502.71,1078,298,1415,537,2560,1440
test\test_042.jpg,crops\test\test_042.jpg,1,0,0.945688,1125.72,574.18,1373.14,657.19,1076,558,1423,674,2560,1440
test\test_043.jpg,crops\test\test_043.jpg,1,0,0.784080,1235.64,415.77,1482.56,670.93,1186,365,1532,722,2560,1440
test\test_044.jpg,crops\test\test_044.jpg,1,0,0.984388,1219.33,258.55,1466.37,431.60,1170,224,1516,466,2560,1440
test\test_045.jpg,crops\test\test_045.jpg,1,0,0.366784,1264.32,621.82,1541.38,711.70,1209,604,1597,730,2560,1440
test\test_046.jpg,crops\test\test_046.jpg,1,0,0.954779,1382.37,536.91,1627.13,781.51,1333,488,1676,830,2560,1440
test\test_047.jpg,crops\test\test_047.jpg,1,0,0.965831,1095.39,234.19,1377.68,435.63,1039,194,1434,476,2560,1440
test\test_048.jpg,crops\test\test_048.jpg,1,0,0.894348,1131.91,493.29,1395.39,581.08,1079,476,1448,599,2560,1440
test\test_049.jpg,crops\test\test_049.jpg,1,0,0.972762,1358.30,533.34,1742.02,914.36,1282,457,1819,991,2560,1440
test\test_050.jpg,crops\test\test_050.jpg,1,0,0.968029,1230.57,152.87,1575.61,450.81,1162,93,1645,510,2560,1440
test\test_051.jpg,crops\test\test_051.jpg,1,0,0.853453,1048.90,278.89,1400.75,491.28,979,236,1471,534,2560,1440
test\test_052.jpg,crops\test\test_052.jpg,1,0,0.977383,1202.31,440.99,1515.02,757.63,1140,378,1578,821,2560,1440
test\test_053.jpg,crops\test\test_053.jpg,1,0,0.852407,1089.61,434.12,1394.34,716.03,1029,378,1455,772,2560,1440
test\test_054.jpg,crops\test\test_054.jpg,1,0,0.947869,1107.78,239.98,1453.88,476.89,1039,193,1523,524,2560,1440
test\test_055.jpg,crops\test\test_055.jpg,1,0,0.978636,1209.77,578.18,1420.13,805.79,1168,533,1462,851,2560,1440
test\test_056.jpg,crops\test\test_056.jpg,1,0,0.981624,1270.03,422.43,1509.07,605.35,1222,386,1557,642,2560,1440
test\test_057.jpg,crops\test\test_057.jpg,1,0,0.908677,1072.86,460.50,1328.12,543.94,1022,444,1379,561,2560,1440
test\test_058.jpg,crops\test\test_058.jpg,1,0,0.925566,1224.44,542.69,1452.24,782.73,1179,495,1498,831,2560,1440
test\test_059.jpg,crops\test\test_059.jpg,1,0,0.979127,1142.95,412.19,1392.08,606.34,1093,373,1442,645,2560,1440
test\test_060.jpg,crops\test\test_060.jpg,1,0,0.590279,1217.55,422.11,1486.86,518.28,1164,403,1541,538,2560,1440
test\test_061.jpg,crops\test\test_061.jpg,1,0,0.984286,1246.39,481.77,1460.95,711.89,1203,436,1504,758,2560,1440
test\test_062.jpg,crops\test\test_062.jpg,1,0,0.945709,1167.29,341.40,1417.80,527.86,1117,304,1468,565,2560,1440
test\test_063.jpg,crops\test\test_063.jpg,1,0,0.878859,1259.29,393.07,1529.75,480.21,1205,376,1584,498,2560,1440
test\test_064.jpg,crops\test\test_064.jpg,1,0,0.932257,1231.54,510.45,1435.67,718.54,1191,469,1476,760,2560,1440
test\test_065.jpg,crops\test\test_065.jpg,1,0,0.498689,1128.23,396.59,1369.49,572.65,1080,361,1418,608,2560,1440
test\test_066.jpg,crops\test\test_066.jpg,1,0,0.869725,985.68,496.65,1243.33,587.03,934,479,1295,605,2560,1440
test\test_067.jpg,crops\test\test_067.jpg,1,0,0.759432,1233.03,544.36,1485.87,801.28,1182,493,1536,853,2560,1440
test\test_068.jpg,crops\test\test_068.jpg,1,0,0.955416,1299.30,366.37,1539.87,534.47,1251,333,1588,568,2560,1440
test\test_069.jpg,crops\test\test_069.jpg,1,0,0.089932,1228.34,311.44,1556.23,459.35,1163,282,1622,489,2560,1440
test\test_070.jpg,crops\test\test_070.jpg,1,0,0.929461,1316.02,598.68,1548.63,837.89,1269,551,1595,886,2560,1440
test\test_071.jpg,crops\test\test_071.jpg,1,0,0.955177,1235.75,352.05,1481.24,543.05,1187,314,1530,581,2560,1440
test\test_072.jpg,crops\test\test_072.jpg,1,0,0.231500,1257.51,511.71,1559.83,606.07,1197,493,1620,625,2560,1440
test\test_073.jpg,crops\test\test_073.jpg,1,0,0.942172,1221.63,621.00,1458.47,877.59,1174,570,1506,929,2560,1440
test\test_074.jpg,crops\test\test_074.jpg,1,0,0.970702,1163.37,325.21,1435.15,538.38,1109,283,1490,581,2560,1440
test\test_075.jpg,crops\test\test_075.jpg,1,0,0.679614,1058.93,452.17,1359.57,541.89,999,434,1420,560,2560,1440
test\test_076.jpg,crops\test\test_076.jpg,1,0,0.974669,1268.30,585.48,1492.26,832.91,1224,536,1537,882,2560,1440
test\test_077.jpg,crops\test\test_077.jpg,1,0,0.378426,1095.03,433.88,1353.78,655.08,1043,390,1406,699,2560,1440
test\test_078.jpg,crops\test\test_078.jpg,1,0,0.924441,1128.99,474.80,1401.86,560.41,1074,458,1456,578,2560,1440
test\test_079.jpg,crops\test\test_079.jpg,1,0,0.970877,1235.05,519.32,1454.42,759.24,1191,471,1498,807,2560,1440
test\test_080.jpg,crops\test\test_080.jpg,1,0,0.978736,1145.81,452.49,1403.97,655.67,1094,412,1456,696,2560,1440
test\test_081.jpg,crops\test\test_081.jpg,1,0,0.894872,1114.23,513.40,1377.97,597.30,1061,497,1431,614,2560,1440
test\test_082.jpg,crops\test\test_082.jpg,1,0,0.961033,1179.12,427.68,1478.38,737.40,1119,366,1538,799,2560,1440
test\test_083.jpg,crops\test\test_083.jpg,1,0,0.852825,1036.03,358.12,1424.41,722.60,958,285,1502,795,2560,1440
test\test_084.jpg,crops\test\test_084.jpg,1,0,0.850245,1112.01,364.05,1501.64,611.64,1034,315,1580,661,2560,1440
test\test_085.jpg,crops\test\test_085.jpg,1,0,0.974617,1271.61,591.41,1482.17,810.16,1229,548,1524,854,2560,1440
test\test_086.jpg,crops\test\test_086.jpg,1,0,0.965234,1235.90,398.52,1480.58,594.57,1187,359,1530,634,2560,1440
test\test_087.jpg,crops\test\test_087.jpg,1,0,0.964270,1236.91,459.02,1523.76,553.25,1180,440,1581,572,2560,1440
test\test_088.jpg,crops\test\test_088.jpg,1,0,0.976631,1334.30,526.91,1551.86,752.46,1291,482,1595,798,2560,1440
test\test_089.jpg,crops\test\test_089.jpg,1,0,0.910829,1129.70,263.18,1371.40,453.07,1081,225,1420,491,2560,1440
test\test_090.jpg,crops\test\test_090.jpg,1,0,0.538287,1105.10,545.52,1394.14,639.51,1047,527,1452,658,2560,1440
test\test_091.jpg,crops\test\test_091.jpg,1,0,0.981042,1326.10,560.35,1548.36,793.28,1282,514,1593,840,2560,1440
test\test_092.jpg,crops\test\test_092.jpg,1,0,0.814600,1160.14,329.94,1419.18,522.35,1108,291,1471,561,2560,1440
test\test_093.jpg,crops\test\test_093.jpg,1,0,0.803144,1084.85,493.58,1338.04,577.70,1034,477,1389,595,2560,1440
test\test_094.jpg,crops\test\test_094.jpg,1,0,0.982392,1284.60,485.63,1502.44,708.24,1241,441,1546,753,2560,1440
test\test_095.jpg,crops\test\test_095.jpg,1,0,0.969183,1183.81,365.17,1417.95,544.83,1137,329,1465,581,2560,1440
test\test_096.jpg,crops\test\test_096.jpg,1,0,0.900650,1289.05,509.22,1544.51,598.17,1238,491,1596,616,2560,1440
test\test_097.jpg,crops\test\test_097.jpg,1,0,0.983125,1197.62,562.46,1421.73,794.52,1153,516,1467,841,2560,1440
test\test_098.jpg,crops\test\test_098.jpg,1,0,0.963099,1220.13,435.93,1472.83,621.67,1170,399,1523,659,2560,1440
test\test_099.jpg,crops\test\test_099.jpg,1,0,0.213045,1262.55,455.55,1541.69,563.72,1207,434,1598,585,2560,1440
test\test_100.jpg,crops\test\test_100.jpg,1,0,0.977978,1348.54,597.32,1576.99,840.53,1303,549,1623,889,2560,1440
test\test_101.jpg,crops\test\test_101.jpg,1,0,0.974394,1182.20,456.16,1433.67,672.48,1132,413,1484,716,2560,1440
test\test_102.jpg,crops\test\test_102.jpg,1,0,0.503721,1204.74,444.31,1482.63,532.44,1149,427,1538,550,2560,1440
test\test_103.jpg,crops\test\test_103.jpg,1,0,0.974529,1196.63,581.86,1422.40,820.51,1151,534,1468,868,2560,1440
test\test_104.jpg,crops\test\test_104.jpg,1,0,0.970620,1122.05,358.61,1372.85,539.26,1072,322,1423,575,2560,1440
test\test_105.jpg,crops\test\test_105.jpg,1,0,0.858962,1132.76,509.25,1395.54,595.27,1080,492,1448,612,2560,1440
test\test_106.jpg,crops\test\test_106.jpg,1,0,0.905889,1201.76,451.87,1533.07,788.32,1135,385,1599,856,2560,1440
test\test_107.jpg,crops\test\test_107.jpg,1,0,0.967760,1058.27,314.33,1440.23,676.12,982,242,1517,748,2560,1440
test\test_108.jpg,crops\test\test_108.jpg,1,0,0.972384,1127.73,270.72,1539.27,550.75,1045,215,1622,607,2560,1440
test\test_109.jpg,crops\test\test_109.jpg,1,0,0.855189,1181.06,540.35,1424.21,802.84,1132,488,1473,855,2560,1440
test\test_110.jpg,crops\test\test_110.jpg,1,0,0.973550,1115.61,351.19,1372.20,542.41,1064,313,1424,581,2560,1440
test\test_111.jpg,crops\test\test_111.jpg,1,0,0.930609,1123.91,395.71,1398.61,483.77,1069,378,1454,501,2560,1440
test\test_112.jpg,crops\test\test_112.jpg,1,0,0.981490,1231.98,482.62,1454.82,710.46,1187,437,1499,756,2560,1440
test\test_113.jpg,crops\test\test_113.jpg,1,0,0.981719,1010.75,338.54,1263.46,532.41,960,300,1314,571,2560,1440
test\test_114.jpg,crops\test\test_114.jpg,1,0,0.925476,1106.32,530.51,1372.25,619.61,1053,513,1425,637,2560,1440
test\test_115.jpg,crops\test\test_115.jpg,1,0,0.940363,1373.70,445.16,1771.85,836.45,1294,367,1851,915,2560,1440
test\test_116.jpg,crops\test\test_116.jpg,1,0,0.949630,1109.85,157.07,1544.82,565.79,1023,75,1632,648,2560,1440
test\test_117.jpg,crops\test\test_117.jpg,1,0,0.949367,1219.61,376.09,1589.81,619.50,1146,327,1664,668,2560,1440
test\test_118.jpg,crops\test\test_118.jpg,1,0,0.873096,1366.65,639.66,1609.03,891.21,1318,589,1658,942,2560,1440
test\test_119.jpg,crops\test\test_119.jpg,1,0,0.982354,1262.64,425.18,1511.81,592.75,1213,392,1562,626,2560,1440
test\test_120.jpg,crops\test\test_120.jpg,1,0,0.692321,1210.30,600.86,1443.71,677.56,1164,586,1490,693,2560,1440
test\test_121.jpg,crops\test\test_121.jpg,1,0,0.978541,1271.39,585.67,1488.07,818.77,1228,539,1531,865,2560,1440
test\test_122.jpg,crops\test\test_122.jpg,1,0,0.979384,1089.99,517.68,1340.02,659.12,1040,489,1390,687,2560,1440
test\test_123.jpg,crops\test\test_123.jpg,1,0,0.591600,1092.24,509.59,1334.79,597.90,1044,492,1383,616,2560,1440
test\test_124.jpg,crops\test\test_124.jpg,1,0,0.979355,1198.88,578.46,1423.01,821.15,1154,530,1468,870,2560,1440
test\test_125.jpg,crops\test\test_125.jpg,1,0,0.965874,1232.71,358.79,1490.98,541.70,1181,322,1543,578,2560,1440
test\test_126.jpg,crops\test\test_126.jpg,1,0,0.718430,1119.36,456.24,1361.51,534.86,1071,441,1410,551,2560,1440
test\test_127.jpg,crops\test\test_127.jpg,1,0,0.715642,1224.75,620.74,1449.54,858.82,1180,573,1495,906,2560,1440
test\test_128.jpg,crops\test\test_128.jpg,1,0,0.967844,1121.60,437.90,1368.34,630.41,1072,399,1418,669,2560,1440
test\test_129.jpg,crops\test\test_129.jpg,1,0,0.895702,1190.62,512.18,1452.46,596.03,1138,495,1505,613,2560,1440
test\test_130.jpg,crops\test\test_130.jpg,1,0,0.975924,1248.06,520.04,1552.90,833.88,1187,457,1614,897,2560,1440
test\test_131.jpg,crops\test\test_131.jpg,1,0,0.959932,1075.49,256.51,1468.02,633.48,997,181,1547,709,2560,1440
test\test_132.jpg,crops\test\test_132.jpg,1,0,0.940753,1147.64,207.56,1563.63,491.10,1064,151,1647,548,2560,1440
test\test_133.jpg,crops\test\test_133.jpg,1,0,0.963020,1254.47,516.93,1495.98,774.62,1206,465,1544,826,2560,1440
test\test_134.jpg,crops\test\test_134.jpg,1,0,0.862789,1202.20,364.21,1490.07,587.39,1145,320,1548,632,2560,1440
test\test_135.jpg,crops\test\test_135.jpg,1,0,0.717097,1170.71,545.61,1473.25,647.88,1110,525,1534,668,2560,1440
test\test_136.jpg,crops\test\test_136.jpg,1,0,0.973208,1255.51,441.71,1488.39,685.67,1209,393,1535,734,2560,1440
test\test_137.jpg,crops\test\test_137.jpg,1,0,0.985714,1236.90,387.58,1503.60,595.78,1184,346,1557,637,2560,1440
test\test_138.jpg,crops\test\test_138.jpg,1,0,0.586437,1283.82,379.07,1569.75,474.26,1227,360,1627,493,2560,1440
test\test_139.jpg,crops\test\test_139.jpg,1,0,0.972946,1271.37,514.65,1501.62,767.49,1225,464,1548,818,2560,1440
test\test_140.jpg,crops\test\test_140.jpg,1,0,0.976713,1326.07,280.63,1591.95,469.09,1273,243,1645,507,2560,1440
test\test_141.jpg,crops\test\test_141.jpg,1,0,0.723817,1212.81,558.59,1451.01,641.89,1165,542,1499,659,2560,1440
test\test_142.jpg,crops\test\test_142.jpg,1,0,0.334982,1375.73,572.06,1597.44,804.59,1331,526,1642,851,2560,1440
test\test_143.jpg,crops\test\test_143.jpg,1,0,0.961682,1255.05,492.57,1524.61,710.57,1201,449,1579,754,2560,1440
test\test_144.jpg,crops\test\test_144.jpg,1,0,0.880163,1266.15,569.06,1519.18,653.33,1216,552,1570,670,2560,1440
test\test_145.jpg,crops\test\test_145.jpg,1,0,0.975131,1310.78,509.54,1642.59,846.24,1244,442,1709,914,2560,1440
test\test_146.jpg,crops\test\test_146.jpg,1,0,0.987740,1246.51,354.46,1640.12,733.45,1168,279,1719,809,2560,1440
test\test_147.jpg,crops\test\test_147.jpg,1,0,0.855239,1134.47,405.20,1476.97,632.14,1066,360,1545,678,2560,1440
test\test_148.jpg,crops\test\test_148.jpg,1,0,0.952406,1169.13,430.48,1377.25,646.81,1128,387,1419,690,2560,1440
test\test_149.jpg,crops\test\test_149.jpg,1,0,0.983644,1160.51,372.54,1398.06,557.53,1113,336,1446,595,2560,1440
test\test_150.jpg,crops\test\test_150.jpg,1,0,0.028820,1183.19,508.89,1418.23,577.07,1136,495,1465,591,2560,1440
train\train_001.jpg,crops\train\train_001.jpg,1,0,0.965699,891.00,414.77,1383.32,898.76,793,318,1482,996,2560,1440
train\train_002.jpg,crops\train\train_002.jpg,1,0,0.973717,1021.19,556.08,1393.56,926.60,947,482,1468,1001,2560,1440
train\train_003.jpg,crops\train\train_003.jpg,1,0,0.964773,1392.93,346.23,1825.65,798.42,1306,256,1912,889,2560,1440
train\train_004.jpg,crops\train\train_004.jpg,1,0,0.957033,1130.34,497.29,1507.05,877.59,1055,421,1582,954,2560,1440
train\train_005.jpg,crops\train\train_005.jpg,1,0,0.959477,812.28,497.11,1215.19,902.98,732,416,1296,984,2560,1440
train\train_006.jpg,crops\train\train_006.jpg,1,0,0.978951,585.52,547.88,935.30,944.35,516,469,1005,1024,2560,1440
train\train_007.jpg,crops\train\train_007.jpg,1,0,0.745738,773.44,402.50,1231.55,894.85,682,304,1323,993,2560,1440
train\train_008.jpg,crops\train\train_008.jpg,1,0,0.954051,1345.58,385.59,1564.92,869.51,1302,289,1609,966,2560,1440
train\train_009.jpg,crops\train\train_009.jpg,1,0,0.983980,1119.04,243.78,1426.42,760.73,1058,140,1488,864,2560,1440
train\train_010.jpg,crops\train\train_010.jpg,1,0,0.930551,926.30,365.78,1161.43,841.23,879,271,1208,936,2560,1440
train\train_011.jpg,crops\train\train_011.jpg,1,0,0.958449,923.84,570.42,1393.37,1037.27,830,477,1487,1131,2560,1440
train\train_012.jpg,crops\train\train_012.jpg,1,0,0.979013,938.15,430.14,1408.55,901.38,844,336,1503,996,2560,1440
train\train_013.jpg,crops\train\train_013.jpg,1,0,0.865796,879.33,357.37,1285.97,868.67,798,255,1367,971,2560,1440
train\train_014.jpg,crops\train\train_014.jpg,1,0,0.531915,1187.24,291.05,1604.57,803.23,1104,189,1688,906,2560,1440
train\train_015.jpg,crops\train\train_015.jpg,1,0,0.948436,1637.42,591.64,1943.18,1067.91,1576,496,2004,1163,2560,1440
train\train_016.jpg,crops\train\train_016.jpg,1,0,0.235984,1570.79,499.29,1879.43,972.61,1509,405,1941,1067,2560,1440
train\train_017.jpg,crops\train\train_017.jpg,1,0,0.346393,1775.39,457.27,1968.08,971.26,1737,354,2007,1074,2560,1440
train\train_018.jpg,crops\train\train_018.jpg,1,0,0.883628,1394.43,322.00,1565.96,790.54,1360,228,1600,884,2560,1440
train\train_019.jpg,crops\train\train_019.jpg,1,0,0.862572,1480.23,473.72,1641.71,933.13,1448,382,1674,1025,2560,1440
train\train_020.jpg,crops\train\train_020.jpg,1,0,0.621599,1133.62,226.37,1497.97,670.42,1061,138,1571,759,2560,1440
train\train_021.jpg,crops\train\train_021.jpg,1,0,0.963164,1107.61,409.12,1605.81,898.63,1008,311,1705,997,2560,1440
train\train_022.jpg,crops\train\train_022.jpg,1,0,0.833192,875.46,325.15,1491.58,921.77,752,206,1615,1041,2560,1440
train\train_023.jpg,crops\train\train_023.jpg,1,0,0.221022,1044.22,429.37,1579.53,965.14,937,322,1687,1072,2560,1440
train\train_024.jpg,crops\train\train_024.jpg,1,0,0.962021,1025.66,276.15,1560.31,819.14,919,168,1667,928,2560,1440
train\train_025.jpg,crops\train\train_025.jpg,1,0,0.982282,1048.15,348.85,1565.52,878.97,945,243,1669,985,2560,1440
train\train_026.jpg,crops\train\train_026.jpg,1,0,0.953155,1090.87,320.34,1624.55,865.31,984,211,1731,974,2560,1440
train\train_027.jpg,crops\train\train_027.jpg,1,0,0.799268,1082.38,291.76,1602.89,825.84,978,185,1707,933,2560,1440
train\train_028.jpg,crops\train\train_028.jpg,1,0,0.454284,1116.33,181.47,1552.99,790.65,1029,60,1640,912,2560,1440
train\train_029.jpg,crops\train\train_029.jpg,1,0,0.948488,1150.79,294.42,1602.06,902.09,1061,173,1692,1024,2560,1440
train\train_030.jpg,crops\train\train_030.jpg,1,0,0.946501,1183.54,375.17,1596.20,948.67,1101,260,1679,1063,2560,1440
train\train_031.jpg,crops\train\train_031.jpg,1,0,0.975572,1317.52,430.24,1652.44,758.92,1251,365,1719,825,2560,1440
train\train_032.jpg,crops\train\train_032.jpg,1,0,0.967449,1117.34,423.69,1428.76,736.72,1055,361,1491,799,2560,1440
train\train_033.jpg,crops\train\train_033.jpg,1,0,0.848570,1154.66,450.33,1466.72,810.81,1092,378,1529,883,2560,1440
train\train_034.jpg,crops\train\train_034.jpg,1,0,0.968224,1175.72,384.19,1478.67,743.99,1115,312,1539,816,2560,1440
train\train_035.jpg,crops\train\train_035.jpg,1,0,0.977484,1154.55,256.51,1462.73,625.28,1093,183,1524,699,2560,1440
train\train_036.jpg,crops\train\train_036.jpg,1,0,0.984351,1214.15,457.35,1503.80,804.40,1156,388,1562,874,2560,1440
train\train_037.jpg,crops\train\train_037.jpg,1,0,0.747039,1156.41,317.65,1457.79,666.09,1096,248,1518,736,2560,1440
train\train_038.jpg,crops\train\train_038.jpg,1,0,0.944225,978.74,255.10,1189.04,685.85,937,169,1231,772,2560,1440
train\train_039.jpg,crops\train\train_039.jpg,1,0,0.919341,1042.91,355.65,1245.13,808.20,1002,265,1286,899,2560,1440
train\train_040.jpg,crops\train\train_040.jpg,1,0,0.945951,1079.83,307.24,1269.20,749.74,1042,219,1307,838,2560,1440
train\train_041.jpg,crops\train\train_041.jpg,1,0,0.950909,894.02,408.80,1287.94,796.04,815,331,1367,873,2560,1440
train\train_042.jpg,crops\train\train_042.jpg,1,0,0.887557,760.03,284.28,1196.17,715.03,673,198,1283,801,2560,1440
train\train_043.jpg,crops\train\train_043.jpg,1,0,0.970583,1227.95,286.78,1499.29,738.43,1174,196,1554,829,2560,1440
train\train_044.jpg,crops\train\train_044.jpg,1,0,0.449928,1243.32,277.97,1500.42,706.59,1192,192,1552,792,2560,1440
train\train_045.jpg,crops\train\train_045.jpg,1,0,0.785541,1249.33,256.37,1521.24,706.55,1195,166,1576,797,2560,1440
train\train_046.jpg,crops\train\train_046.jpg,1,0,0.951122,1277.25,334.20,1533.35,759.63,1226,249,1585,845,2560,1440
train\train_047.jpg,crops\train\train_047.jpg,1,0,0.775431,1192.64,376.71,1440.95,784.09,1143,295,1491,866,2560,1440
train\train_048.jpg,crops\train\train_048.jpg,1,0,0.635930,1044.59,280.48,1218.46,701.92,1010,196,1253,786,2560,1440
train\train_049.jpg,crops\train\train_049.jpg,1,0,0.642545,1198.36,555.32,1370.96,979.09,1164,471,1405,1064,2560,1440
train\train_050.jpg,crops\train\train_050.jpg,1,0,0.901774,1192.81,386.31,1358.63,808.22,1160,302,1392,893,2560,1440
train\train_051.jpg,crops\train\train_051.jpg,1,0,0.969083,1246.85,577.57,1522.95,854.94,1192,522,1578,910,2560,1440
train\train_052.jpg,crops\train\train_052.jpg,1,0,0.982141,1004.54,407.60,1352.49,756.83,935,338,1422,827,2560,1440
train\train_053.jpg,crops\train\train_053.jpg,1,0,0.982883,1468.34,313.48,1767.55,694.44,1408,237,1827,771,2560,1440
train\train_054.jpg,crops\train\train_054.jpg,1,0,0.978486,1332.86,271.99,1641.94,652.84,1271,196,1704,729,2560,1440
train\train_055.jpg,crops\train\train_055.jpg,1,0,0.977396,1464.25,309.29,1753.00,704.79,1406,230,1811,784,2560,1440
train\train_056.jpg,crops\train\train_056.jpg,1,0,0.975967,1313.96,306.18,1596.92,683.14,1257,231,1654,759,2560,1440
train\train_057.jpg,crops\train\train_057.jpg,1,0,0.979681,1319.59,364.09,1600.35,742.48,1263,288,1656,818,2560,1440
train\train_058.jpg,crops\train\train_058.jpg,1,0,0.933812,1048.91,360.61,1220.75,782.66,1015,276,1255,867,2560,1440
train\train_059.jpg,crops\train\train_059.jpg,1,0,0.915201,1073.67,258.44,1253.28,697.44,1038,171,1289,785,2560,1440
train\train_060.jpg,crops\train\train_060.jpg,1,0,0.904435,1054.43,319.58,1239.84,758.97,1017,232,1277,847,2560,1440
